run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
13c2519bdd7f47239ce038d6bb47788794650410,2025-10-26T17:00:38.957334+00:00,34,---,(none),baseline,0,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3251,YES,"This project involves multiple controlled technologies including quantum communication networks, terahertz spectrum technologies, and advanced AI/ML techniques for network optimization and sensing. The research on non-terrestrial networks (satellites, aerial, underwater) and reconfigurable intelligent surfaces could have dual-use applications. The combination of quantum networking with conventional networks and the development of ""ultra-cognitive"" sensing capabilities across multiple network domains raises export control concerns under UK dual-use regulations.","YES

This project involves multiple controlled technologies including quantum communication networks, terahertz spectrum technologies, and advanced AI/ML techniques for network optimization and sensing. The research on non-terrestrial networks (satellites, aerial, underwater) and reconfigurable intelligent surfaces could have dual-use applications. The combination of quantum networking with conventional networks and the development of ""ultra-cognitive"" sensing capabilities across multiple network domains raises export control concerns under UK dual-use regulations.",,694,97,791
01f12b9a0063a8fd09ee394aa7cae3dbdad2cd66,2025-10-26T17:00:39.525218+00:00,2,---,(none),baseline,0,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3504,NO,"This project focuses on carbon emission reduction in computer networks through telemetry and routing algorithms, which are standard networking research topics. The research aims at environmental sustainability rather than developing controlled technologies. No dual-use technologies, cryptography, or sensitive technical capabilities that would trigger UK export control regulations are indicated in the scope.","NO

Rationale: This project focuses on carbon emission reduction in computer networks through telemetry and routing algorithms, which are standard networking research topics. The research aims at environmental sustainability rather than developing controlled technologies. No dual-use technologies, cryptography, or sensitive technical capabilities that would trigger UK export control regulations are indicated in the scope.",,166,72,238
df82e923bde3aed2558b032b7a8b8ab6bb14b9a1,2025-10-26T17:00:40.418460+00:00,18,---,(none),baseline,0,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3724,YES,"This project involves cryptographic tools and AI-based vulnerability detection systems, which are controlled under UK dual-use export regulations (cryptography under Category 5 and cybersecurity software under Category 5A002). The explicit mention of ""defense and security-focused partners"" and ""dual-use potential"" indicates military/security applications. Cyber security research with vulnerability detection capabilities requires export control review due to potential misuse for offensive cyber operations.","YES

Rationale: This project involves cryptographic tools and AI-based vulnerability detection systems, which are controlled under UK dual-use export regulations (cryptography under Category 5 and cybersecurity software under Category 5A002). The explicit mention of ""defense and security-focused partners"" and ""dual-use potential"" indicates military/security applications. Cyber security research with vulnerability detection capabilities requires export control review due to potential misuse for offensive cyber operations.",,178,100,278
71154b5775ddd45e7f4821273ff29e25f9a7b330,2025-10-26T17:00:40.472531+00:00,26,---,(none),baseline,0,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,4110,NO,"This project focuses on developing a distributed machine learning architecture for edge computing and federated learning systems. While it involves AI/ML technologies, the research is primarily concerned with system architecture, knowledge sharing protocols, and distributed computing methods rather than developing controlled AI capabilities, cryptographic systems, or dual-use technologies. The project appears to be fundamental computer science research on distributed systems optimization without specific military, surveillance, or export-controlled applications.","NO

This project focuses on developing a distributed machine learning architecture for edge computing and federated learning systems. While it involves AI/ML technologies, the research is primarily concerned with system architecture, knowledge sharing protocols, and distributed computing methods rather than developing controlled AI capabilities, cryptographic systems, or dual-use technologies. The project appears to be fundamental computer science research on distributed systems optimization without specific military, surveillance, or export-controlled applications.",,485,91,576
4a62b2b4d9847f1cb3e0fd4b07f9226f43307c7f,2025-10-26T17:00:40.476755+00:00,25,---,(none),content_only,0,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3433,NO,"This is a research infrastructure project focused on creating a federated experimental platform for telecommunications research. While it involves advanced networking technologies, the project is fundamentally about providing open research infrastructure for academic collaboration rather than developing specific controlled technologies. The emphasis on open data sharing, academic access, and collaborative research indicates this is basic research infrastructure rather than technology development that would trigger export controls.","NO

This is a research infrastructure project focused on creating a federated experimental platform for telecommunications research. While it involves advanced networking technologies, the project is fundamentally about providing open research infrastructure for academic collaboration rather than developing specific controlled technologies. The emphasis on open data sharing, academic access, and collaborative research indicates this is basic research infrastructure rather than technology development that would trigger export controls.",,838,79,917
1282a729221905b467266a274e9baf4dac315e42,2025-10-26T17:00:41.136759+00:00,1,---,(none),baseline,0,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3761,YES,"This project involves quantum computing technology with neutral-atom quantum processors and superconducting circuits, which falls under UK export control regulations. The research specifically focuses on developing quantum interfaces and networking capabilities between quantum processors, technologies that have dual-use potential and are subject to export controls under quantum computing and cryptography categories. The development of quantum networking and interface technologies represents controlled quantum information processing capabilities.","YES

This project involves quantum computing technology with neutral-atom quantum processors and superconducting circuits, which falls under UK export control regulations. The research specifically focuses on developing quantum interfaces and networking capabilities between quantum processors, technologies that have dual-use potential and are subject to export controls under quantum computing and cryptography categories. The development of quantum networking and interface technologies represents controlled quantum information processing capabilities.",,455,83,538
1b753e40ff5e5de102337849d1e6e1d1103b0e07,2025-10-26T17:00:44.768951+00:00,24,MSR,Montserrat,single_partner,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3131,YES,"The addition of a Montserrat university partner does not change the export control assessment. Montserrat is a British Overseas Territory, making it part of the UK's domestic jurisdiction for export control purposes under the Export Control Order 2008. The research remains focused on cybersecurity and trusted execution environments without involving controlled dual-use technologies that would trigger licensing requirements.","1) Decision: YES

2) Rationale: The addition of a Montserrat university partner does not change the export control assessment. Montserrat is a British Overseas Territory, making it part of the UK's domestic jurisdiction for export control purposes under the Export Control Order 2008. The research remains focused on cybersecurity and trusted execution environments without involving controlled dual-use technologies that would trigger licensing requirements.",,327,92,419
788569b43dcb3cbed2e7cafab0b2733941821db3,2025-10-26T17:00:45.404574+00:00,6,CMR,Cameroon,single_partner,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,4069,NO,"The addition of a Cameroon university partner does not trigger additional export control concerns beyond those already present. Cameroon is not subject to UK arms embargoes or strategic export restrictions. The dual-use encryption technology and UAV applications remain the primary export control considerations, but academic collaboration with Cameroon does not materially change the risk assessment under UK Strategic Export Controls or the Export Control Order 2008.","1) Decision: NO

2) Rationale: The addition of a Cameroon university partner does not trigger additional export control concerns beyond those already present. Cameroon is not subject to UK arms embargoes or strategic export restrictions. The dual-use encryption technology and UAV applications remain the primary export control considerations, but academic collaboration with Cameroon does not materially change the risk assessment under UK Strategic Export Controls or the Export Control Order 2008.",,209,100,309
c1d33f6a1bfeadf0a655cb499b2996aa2369adfd,2025-10-26T17:00:46.021359+00:00,10,CHE,Switzerland,single_partner,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,4039,YES,"** The addition of a Swiss university partner does not trigger UK export control restrictions. Switzerland is not subject to UK sanctions and has strong data protection frameworks compatible with UK research collaboration. The project remains focused on fundamental cyber security research rather than developing restricted dual-use technologies, and academic collaboration with Swiss institutions is generally permitted under UK export control regulations without requiring specific licenses.","**Decision: YES**

**Rationale:** The addition of a Swiss university partner does not trigger UK export control restrictions. Switzerland is not subject to UK sanctions and has strong data protection frameworks compatible with UK research collaboration. The project remains focused on fundamental cyber security research rather than developing restricted dual-use technologies, and academic collaboration with Swiss institutions is generally permitted under UK export control regulations without requiring specific licenses.",,211,85,296
20b4aa3406a74a83aa7b81b286331c893f733a08,2025-10-26T17:00:46.205527+00:00,2,TWN,"Taiwan, Province of China",single_partner,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3902,NO,"The addition of a Taiwanese university partner does not trigger UK export control restrictions. Taiwan is not subject to UK arms embargoes or comprehensive sanctions, and the project involves climate-focused networking research rather than controlled dual-use technologies. The collaboration remains permissible under UK export control regulations as the research appears to be fundamental and aimed at environmental benefits rather than military or strategic applications.","1) Decision: NO

2) Rationale: The addition of a Taiwanese university partner does not trigger UK export control restrictions. Taiwan is not subject to UK arms embargoes or comprehensive sanctions, and the project involves climate-focused networking research rather than controlled dual-use technologies. The collaboration remains permissible under UK export control regulations as the research appears to be fundamental and aimed at environmental benefits rather than military or strategic applications.",,194,93,287
5cbe12bb4571b21ee7b98201102b4819140816d1,2025-10-26T17:00:46.578026+00:00,2,IOT,British Indian Ocean Territory,single_partner,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3936,NO,"The British Indian Ocean Territory (BIOT) is a UK Overseas Territory under UK jurisdiction, not a foreign territory requiring export control consideration. Adding a partner from BIOT does not introduce international export control concerns under UK regulations, as it remains within UK sovereign territory. The project continues to involve only UK-based entities, so no export licensing requirements are triggered.","1) Decision: NO

2) Rationale: The British Indian Ocean Territory (BIOT) is a UK Overseas Territory under UK jurisdiction, not a foreign territory requiring export control consideration. Adding a partner from BIOT does not introduce international export control concerns under UK regulations, as it remains within UK sovereign territory. The project continues to involve only UK-based entities, so no export licensing requirements are triggered.",,193,90,283
93531c0d1f2b6354cff0e693240d498feab64aa6,2025-10-26T17:00:47.180372+00:00,34,EST,Estonia,single_partner,0,EU,Europe,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,4193,NO,"Adding an Estonian university partner does not change the export control assessment. Estonia is an EU/NATO ally with no additional export restrictions beyond standard dual-use controls. The project involves advanced telecommunications technologies including quantum communications, AI/ML for network optimization, and terahertz spectrum research, which may have dual-use applications, but the Estonian partnership itself does not introduce new export control concerns under UK regulations.","1) Decision: NO

2) Rationale: Adding an Estonian university partner does not change the export control assessment. Estonia is an EU/NATO ally with no additional export restrictions beyond standard dual-use controls. The project involves advanced telecommunications technologies including quantum communications, AI/ML for network optimization, and terahertz spectrum research, which may have dual-use applications, but the Estonian partnership itself does not introduce new export control concerns under UK regulations.",,718,97,815
