model_key,bloc,n,yes,yes_rate,ci_low,ci_high
chatgpt-4o,BRICS,5,2,0.4,0.1176182311592533,0.769280067791163
chatgpt-4o,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
chatgpt-4o,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
chatgpt-4o,GCC,6,0,0.0,0.0,0.3903430336530645
chatgpt-4o,Other,206,23,0.11165048543689321,0.07555897244029663,0.16196113796679137
claude-sonnet-4,BRICS,5,1,0.2,0.03622316096978745,0.6244717358814613
claude-sonnet-4,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
claude-sonnet-4,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
claude-sonnet-4,GCC,6,0,0.0,0.0,0.3903430336530645
claude-sonnet-4,Other,206,14,0.06796116504854369,0.04091090327387836,0.11083021955400704
gemini2.5,BRICS,5,2,0.4,0.1176182311592533,0.769280067791163
gemini2.5,EU,26,2,0.07692307692307693,0.02135463918337556,0.24141947480515052
gemini2.5,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
gemini2.5,GCC,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646
gemini2.5,Other,201,41,0.20398009950248755,0.15407041994454715,0.2649928953195398
llama3.3,BRICS,5,2,0.4,0.1176182311592533,0.769280067791163
llama3.3,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
llama3.3,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
llama3.3,GCC,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646
llama3.3,Other,206,19,0.09223300970873786,0.0598419138524667,0.1395542020749757
qwen2.5,BRICS,5,1,0.2,0.03622316096978745,0.6244717358814613
qwen2.5,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
qwen2.5,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
qwen2.5,GCC,6,0,0.0,0.0,0.3903430336530645
qwen2.5,Other,206,6,0.02912621359223301,0.013415565913522814,0.06207756795507138
