run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
f531645cdec12c6a,2025-10-05T21:56:39.629808+00:00,1,---,(none),baseline,0,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,3305,YES,"The project involves the development of advanced quantum computing technologies, specifically the creation of a quantum interface between neutral-atom processors and superconducting circuits. Such interfaces are critical for networking and integrating quantum systems, which may have dual-use applications and fall under export control regulations due to their potential significance in both civilian and military contexts.","Decision: YES

Rationale: The project involves the development of advanced quantum computing technologies, specifically the creation of a quantum interface between neutral-atom processors and superconducting circuits. Such interfaces are critical for networking and integrating quantum systems, which may have dual-use applications and fall under export control regulations due to their potential significance in both civilian and military contexts.",,429,72,501
e920ff3c1849affc,2025-10-05T21:56:43.094920+00:00,26,---,(none),baseline,3,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1783,NO,"The project focuses on developing a novel distributed architecture for decentralized learning methods, which is primarily academic research and does not involve controlled technologies or sensitive information that would require export control review.","NO
Rationale: The project focuses on developing a novel distributed architecture for decentralized learning methods, which is primarily academic research and does not involve controlled technologies or sensitive information that would require export control review.",,456,40,496
1b963366ec72b25f,2025-10-05T21:56:47.573166+00:00,23,DJI,Djibouti,baseline_plus_one,10,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1254,NO,"The project focuses on developing a computational system for optimizing energy management in homes using behavioral patterns inspired by bees. It does not involve any controlled technologies, materials, or information that would require export control under UK regulations.","NO
Rationale: The project focuses on developing a computational system for optimizing energy management in homes using behavioral patterns inspired by bees. It does not involve any controlled technologies, materials, or information that would require export control under UK regulations.",,825,47,872
2d98e4e13818f08b,2025-10-05T21:56:52.889349+00:00,26,VGB,"Virgin Islands, British",baseline_plus_one,3,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1563,NO,"The project focuses on developing a decentralized learning system for AI/ML at the edge, which does not inherently involve controlled technologies or sensitive information that would trigger export control regulations. The involvement of industry partners and a public university does not introduce elements that would necessitate export control review.","NO
Rationale: The project focuses on developing a decentralized learning system for AI/ML at the edge, which does not inherently involve controlled technologies or sensitive information that would trigger export control regulations. The involvement of industry partners and a public university does not introduce elements that would necessitate export control review.",,471,60,531
cc9f5212b4af8441,2025-10-05T21:56:59.548555+00:00,2,TCA,Turks and Caicos Islands,baseline_plus_one,5,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,3248,NO,"The project's focus on reducing carbon emissions in computer networks through telemetry and routing algorithms does not inherently involve controlled technology or information under UK export control regulations. Collaboration with international partners, including a public university in Turks and Caicos Islands, does not trigger export control requirements based on the provided details.","NO
Rationale: The project's focus on reducing carbon emissions in computer networks through telemetry and routing algorithms does not inherently involve controlled technology or information under UK export control regulations. Collaboration with international partners, including a public university in Turks and Caicos Islands, does not trigger export control requirements based on the provided details.",,185,64,249
1aa5209d1b7a6b6f,2025-10-05T21:57:02.819563+00:00,14,SHN,"Saint Helena, Ascension and Tristan da Cunha",baseline_plus_one,3,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1497,NO,"The project focuses on developing energy-resilient sensor systems for civilian applications such as agriculture, home automation, and healthcare, with no involvement of defense-specific or dual-use technology. The project partners are primarily commercial and academic entities, which do not indicate any export control concerns.","NO
Rationale: The project focuses on developing energy-resilient sensor systems for civilian applications such as agriculture, home automation, and healthcare, with no involvement of defense-specific or dual-use technology. The project partners are primarily commercial and academic entities, which do not indicate any export control concerns.",,204,59,263
e274f0f4407d9e75,2025-10-05T21:57:09.742168+00:00,26,IND,India,baseline_plus_one,3,BRICS,Asia,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,3434,NO,"The project focuses on developing a decentralized learning method for AI/ML systems at the edge, which does not inherently involve controlled technology or information under UK export control regulations. The involvement of industry partners and a public university in India suggests collaboration but does not indicate the transfer of controlled items or technologies.","NO
Rationale: The project focuses on developing a decentralized learning method for AI/ML systems at the edge, which does not inherently involve controlled technology or information under UK export control regulations. The involvement of industry partners and a public university in India suggests collaboration but does not indicate the transfer of controlled items or technologies.",,468,64,532
36a8dff9d7c3fe0c,2025-10-05T21:57:13.445525+00:00,10,SMR,San Marino,baseline_plus_one,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2135,NO,"The project focuses on supporting cyber security research and developing testbeds and frameworks, which are not inherently restricted technologies. Collaboration with a public university in San Marino does not trigger export control concerns.","NO
Rationale: The project focuses on supporting cyber security research and developing testbeds and frameworks, which are not inherently restricted technologies. Collaboration with a public university in San Marino does not trigger export control concerns.",,176,44,220
f35035f957698624,2025-10-05T21:57:17.745302+00:00,8,---,(none),baseline,3,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1442,YES,"The project involves SONAR and underwater acoustic communication technologies, which are subject to export controls due to their potential military applications. Additionally, the involvement of NATO and Thales, entities with significant defense interests, further necessitates an export control review.","Decision: YES
Rationale: The project involves SONAR and underwater acoustic communication technologies, which are subject to export controls due to their potential military applications. Additionally, the involvement of NATO and Thales, entities with significant defense interests, further necessitates an export control review.",,170,55,225
a394e44a08bc204e,2025-10-05T21:57:22.999704+00:00,23,SHN,"Saint Helena, Ascension and Tristan da Cunha",baseline_plus_one,10,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1684,NO,"The project focuses on developing a computational system for optimizing energy management in homes using behavioral patterns inspired by bees. It does not involve controlled technologies, materials, or information that would trigger export control regulations.","NO
Rationale: The project focuses on developing a computational system for optimizing energy management in homes using behavioral patterns inspired by bees. It does not involve controlled technologies, materials, or information that would trigger export control regulations.",,832,44,876
