run_id,model,project_id,iso3,country_name,decision,rationale,code_uk_eu_dualuse,code_itar_ear,code_sanctions,code_military_end_use,code_partner_identity,notes_annotator
fd164442bf29ecd3,claude-sonnet-4,8,PHL,Philippines,YES,"The project involves underwater surveillance technologies for security applications including port protection, which likely falls under dual-use export controls. The involvement of NATO as a partner and the focus on SONAR/acoustic communication technologies for surveillance purposes suggests military/defense applications. Additionally, collaboration with partners in the Philippines (a non-EU country) may trigger export licensing requirements under UK dual-use regulations for controlled surveillance and acoustic technologies.",,,,,,
7356eef5adc12b88,qwen2.5,14,UZB,Uzbekistan,NO,"The project focuses on energy-resilient sensor systems for civilian applications such as agriculture, home automation, and healthcare, with no involvement of defense-specific or dual-use technology. The project partners, including a public university in Uzbekistan, do not indicate any controlled activities or technologies.",,,,,,
012b67d8726c4eac,llama3.3,27,IRN,"Iran, Islamic Republic of",NO,"The project focuses on fundamental research in semiconductors for renewable energy generation, which is not inherently controlled under export control regulations. The research aims to improve understanding of charge-lattice interactions in novel semiconductors, and the project partners are primarily academic institutions. Although one of the project partners is a public university in Iran, the project's purpose and scope do not appear to involve the development or transfer of controlled technologies or items. The collaboration with international partners, including those in Iran, is for the purpose of advancing scientific knowledge in a field with broad civilian applications, rather than for military or dual-use purposes.",,,,,,
760ca0ef2d14b2ae,chatgpt-4o,27,MTQ,Martinique,NO,"The project focuses on fundamental research into charge-lattice interactions in semiconductors for renewable energy applications, which is not typically subject to export control. The research involves widely studied materials like semiconducting metal halides and chalcogenides, and aims to improve understanding of their properties for solar energy conversion. There is no indication of dual-use technology or military applications that would necessitate export control review.",,,,,,
f85386c40dd6f6a4,claude-sonnet-4,23,ESH,Western Sahara,NO,"This project focuses on domestic energy management systems inspired by bee communication patterns, which falls under civilian energy efficiency research. The computational algorithms for behavioral pattern analysis and energy optimization do not involve controlled technologies, encryption, or dual-use capabilities that would trigger UK export controls. While there is an international partner in Western Sahara, the research involves standard academic collaboration on civilian energy management without controlled technical data or technologies.",,,,,,
dceb75576c207c78,chatgpt-4o,14,IRN,"Iran, Islamic Republic of",YES,"The involvement of a public university located in Iran triggers export control considerations due to UK export control regulations, which include restrictions on technology transfers to certain countries, including Iran. Despite the project's focus on civilian applications, the collaboration with an Iranian entity necessitates a review to ensure compliance with these regulations.",,,,,,
891fcd4e163aa01d,qwen2.5,14,IRQ,Iraq,YES,"The project involves sensor systems for IoT applications, and one of the partners is located in Iraq. Export controls apply to projects involving entities in sanctioned countries, even if the work itself does not involve controlled technology or dual-use items.",,,,,,
de60f52250db9447,llama3.3,6,PRI,Puerto Rico,YES,"The project requires export control review due to its involvement in developing encryption technology for high-value devices in hostile environments, which could be considered dual-use. The collaboration with NASA JPL, a US government entity, and the application in areas such as unmanned aerial vehicles and critical infrastructure, further suggests potential export control concerns. Additionally, the project's focus on dynamic encryption and contextual key generation may trigger controls under the Wassenaar Arrangement or UK export control regulations. The international collaboration with partners in the US (NASA JPL) and Puerto Rico also necessitates a review to ensure compliance with relevant export control laws.",,,,,,
4136d0c33d92b7e2,llama3.3,14,PCN,Pitcairn,NO,"The project focuses on energy-resilient sensor systems for civilian applications such as agriculture, home automation, and healthcare, with no indication of defense-specific or dual-use technology. The involvement of industry partners like ARM Ltd and academic institutions like ETH Zurich and a public university in Pitcairn suggests a collaborative, non-sensitive research effort. The project's emphasis on energy harvesting for IoT applications does not inherently suggest controlled technologies. The overall scope and partnerships indicate a low-risk, non-controlled project.",,,,,,
dc7fd2118080c588,llama3.3,34,TUN,Tunisia,NO,"The research project focuses on developing a network of networks, integrating various technologies such as AI, ML, and quantum communication, but does not appear to involve the development or use of controlled dual-use items or technologies, such as military-grade encryption or sensitive radar systems. The project's emphasis on seamless end-to-end service delivery, latency, and energy efficiency suggests a focus on civilian applications. The collaboration with a public university in Tunisia does not inherently raise export control concerns, as the project's goals and technologies do not seem to be related to sensitive or controlled areas. The project's scope is largely focused on advancing networking technologies for civilian use, such as addressing the digital divide and improving network efficiency.",,,,,,
