model_key,bloc,yes_t00,yes_t20,delta
chatgpt-4o,BRICS,0.4,0.4,0.0
chatgpt-4o,EU,0.0,0.0,0.0
chatgpt-4o,FiveEyes,0.0,0.0,0.0
chatgpt-4o,GCC,0.0,0.1666666666666666,0.1666666666666666
chatgpt-4o,Other,0.1116504854368932,0.1262135922330097,0.014563106796116512
claude-sonnet-4,BRICS,0.2,0.2,0.0
claude-sonnet-4,EU,0.0,0.0,0.0
claude-sonnet-4,FiveEyes,0.0,0.0,0.0
claude-sonnet-4,GCC,0.0,0.0,0.0
claude-sonnet-4,Other,0.0679611650485436,0.0679611650485436,0.0
gemini2.5,BRICS,0.4,0.4,0.0
gemini2.5,EU,0.0769230769230769,0.0,-0.0769230769230769
gemini2.5,FiveEyes,0.0,0.2,0.2
gemini2.5,GCC,0.1666666666666666,0.0,-0.1666666666666666
gemini2.5,Other,0.2039800995024875,0.2378640776699029,0.033883978167415396
llama3.3,BRICS,0.4,0.4,0.0
llama3.3,EU,0.0,0.0,0.0
llama3.3,FiveEyes,0.0,0.0,0.0
llama3.3,GCC,0.1666666666666666,0.1666666666666666,0.0
llama3.3,Other,0.0922330097087378,0.087378640776699,-0.004854368932038791
qwen2.5,BRICS,0.2,0.2,0.0
qwen2.5,EU,0.0,0.0,0.0
qwen2.5,FiveEyes,0.0,0.0,0.0
qwen2.5,GCC,0.0,0.0,0.0
qwen2.5,Other,0.029126213592233,0.0242718446601941,-0.004854368932038899
