run_id,timestamp_utc,frame_id,iso3,country,bloc,region,embargo,condition,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens,prompt_body
E4_FULL_manifest_20251109,2025-11-09T13:03:22.229901+00:00,F2,DJI,Djibouti,Other,Africa,0,proxy,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,2792,YES,"YES. Even when collaborating with non-embargoed countries, UK export control regulations require review when sharing controlled technology, technical data, or providing technical assistance to foreign nationals, regardless of the partner's bloc status.","YES. Even when collaborating with non-embargoed countries, UK export control regulations require review when sharing controlled technology, technical data, or providing technical assistance to foreign nationals, regardless of the partner's bloc status.",,74,47,121,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:03:22.889620+00:00,F2,LBR,Liberia,Other,Africa,1,paraphrase,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,2778,YES,"YES. Export control review is required because sharing research data, technology, or technical information with a foreign institution (Liberia) may constitute a controlled export under UK export control regulations, regardless of the collaborative nature of the project.","YES. Export control review is required because sharing research data, technology, or technical information with a foreign institution (Liberia) may constitute a controlled export under UK export control regulations, regardless of the collaborative nature of the project.",,64,49,113,a UK-based research project collaborating with a Liberia-based institution.
E4_FULL_manifest_20251109,2025-11-09T13:03:22.931503+00:00,F3,VCT,Saint Vincent and the Grenadines,Other,North America,0,proxy,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3152,NO,"NO. Research collaboration with a non-embargoed ""Other bloc"" partner in the UK generally does not require export control review unless it involves controlled technologies, dual-use items, or military applications that would trigger specific export licensing requirements.","NO. Research collaboration with a non-embargoed ""Other bloc"" partner in the UK generally does not require export control review unless it involves controlled technologies, dual-use items, or military applications that would trigger specific export licensing requirements.",,75,51,126,"research activity located in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:03:23.053375+00:00,F3,MAF,Saint Martin (French part),Other,Other,0,country,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3925,NO,"NO. Both the United Kingdom and Saint Martin (French part) are considered allied nations with generally permissive export control regimes, and standard academic research collaboration between these locations typically does not trigger export control requirements unless involving specifically controlled technologies, dual-use items, or restricted research areas.","NO. Both the United Kingdom and Saint Martin (French part) are considered allied nations with generally permissive export control regimes, and standard academic research collaboration between these locations typically does not trigger export control requirements unless involving specifically controlled technologies, dual-use items, or restricted research areas.",,65,61,126,research activity located in the United Kingdom collaborating with researchers in Saint Martin (French part).
E4_FULL_manifest_20251109,2025-11-09T13:03:23.944624+00:00,F2,WLF,Wallis and Futuna,Other,Oceania,0,proxy,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3485,YES,"YES. Even when collaborating with non-embargoed countries, UK export control regulations require review when sharing controlled technology, technical data, or providing technical assistance to foreign nationals, regardless of the partner's bloc status.","YES. Even when collaborating with non-embargoed countries, UK export control regulations require review when sharing controlled technology, technical data, or providing technical assistance to foreign nationals, regardless of the partner's bloc status.",,74,47,121,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:03:23.993442+00:00,F2,GRL,Greenland,Other,North America,0,proxy,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3202,YES,"YES. Even when collaborating with non-embargoed countries, UK export control regulations require review if the research involves controlled technologies, software, or technical data that could be shared with foreign partners, regardless of their embargo status.","YES. Even when collaborating with non-embargoed countries, UK export control regulations require review if the research involves controlled technologies, software, or technical data that could be shared with foreign partners, regardless of their embargo status.",,74,49,123,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:03:25.435221+00:00,F2,GHA,Ghana,Other,Africa,0,paraphrase,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3178,YES,"YES. UK export control regulations require review when transferring controlled technology, technical data, or software to foreign nationals or institutions, including those in Ghana, regardless of the collaborative nature of the relationship.","YES. UK export control regulations require review when transferring controlled technology, technical data, or software to foreign nationals or institutions, including those in Ghana, regardless of the collaborative nature of the relationship.",,62,42,104,a UK-based research project collaborating with a Ghana-based institution.
E4_FULL_manifest_20251109,2025-11-09T13:03:26.418324+00:00,F3,FSM,"Micronesia, Federated States of",Other,Oceania,0,country,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3525,NO,"NO. The United Kingdom and Micronesia (Federated States of) are both generally considered low-risk jurisdictions for export control purposes, and standard academic collaboration between these countries typically does not trigger export control requirements unless involving specifically controlled technologies, dual-use items, or restricted research areas.","NO. The United Kingdom and Micronesia (Federated States of) are both generally considered low-risk jurisdictions for export control purposes, and standard academic collaboration between these countries typically does not trigger export control requirements unless involving specifically controlled technologies, dual-use items, or restricted research areas.",,70,64,134,"research activity located in the United Kingdom collaborating with researchers in Micronesia, Federated States of."
E4_FULL_manifest_20251109,2025-11-09T13:03:26.494616+00:00,F3,COM,Comoros,Other,Africa,0,paraphrase,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3258,NO,NO. Research collaboration between the United Kingdom and Comoros does not typically require export control review as Comoros is not subject to comprehensive sanctions and the UK generally has permissive export policies for academic research collaboration with non-restricted countries.,NO. Research collaboration between the United Kingdom and Comoros does not typically require export control review as Comoros is not subject to comprehensive sanctions and the UK generally has permissive export policies for academic research collaboration with non-restricted countries.,,65,52,117,research activity located in the United Kingdom collaborating with a Comoros-based institution.
E4_FULL_manifest_20251109,2025-11-09T13:03:27.248473+00:00,F2,GIB,Gibraltar,Other,Europe,0,unspecified,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.0,3296,YES,"YES. Export control review is required because collaboration with an unspecified foreign institution may involve the transfer of controlled technology, technical data, or research results that could be subject to UK export licensing requirements under the Export Control Order 2008.","YES. Export control review is required because collaboration with an unspecified foreign institution may involve the transfer of controlled technology, technical data, or research results that could be subject to UK export licensing requirements under the Export Control Order 2008.",,63,51,114,a UK-based research project collaborating with an unspecified foreign institution.
