run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
9df927a8f49dd188,2025-10-06T14:50:35.235682+00:00,8,PYF,French Polynesia,baseline_plus_one,3,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2192,YES,"The project is controlled due to its involvement in developing underwater surveillance networks for security applications, which may be considered dual-use technology. The participation of NATO and Thales, a major defense contractor, further suggests a potential military application. Additionally, the use of SONAR and underwater acoustic communication technologies may be subject to export controls due to their potential use in military operations. The international collaboration with partners from multiple countries, including a public university in French Polynesia, also increases the likelihood of export control requirements.","YES
The project is controlled due to its involvement in developing underwater surveillance networks for security applications, which may be considered dual-use technology. The participation of NATO and Thales, a major defense contractor, further suggests a potential military application. Additionally, the use of SONAR and underwater acoustic communication technologies may be subject to export controls due to their potential use in military operations. The international collaboration with partners from multiple countries, including a public university in French Polynesia, also increases the likelihood of export control requirements.",,188,103,291
700118e67297364b,2025-10-06T14:50:40.458681+00:00,6,UGA,Uganda,baseline_plus_one,1,Other,Africa,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2438,YES,"The project requires export control review due to its involvement in developing encryption technology for high-value devices in hostile environments, which could be considered dual-use. The collaboration with NASA JPL, a US government entity, and the potential applications in unmanned aerial vehicles and critical infrastructure also raise export control concerns. Additionally, the project's focus on dynamic encryption and contextual key generation may be subject to UK and international export controls, such as those related to cryptography and national security. The international collaboration with a public university in Uganda may also trigger export control requirements.","YES
The project requires export control review due to its involvement in developing encryption technology for high-value devices in hostile environments, which could be considered dual-use. The collaboration with NASA JPL, a US government entity, and the potential applications in unmanned aerial vehicles and critical infrastructure also raise export control concerns. Additionally, the project's focus on dynamic encryption and contextual key generation may be subject to UK and international export controls, such as those related to cryptography and national security. The international collaboration with a public university in Uganda may also trigger export control requirements.",,179,110,289
79fc61018a91c490,2025-10-06T14:50:45.972497+00:00,23,TJK,Tajikistan,baseline_plus_one,10,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2956,NO,"The project focuses on developing a computational system to optimize energy management in homes using behavioral patterns inspired by bees, with no indication of involvement of controlled technologies, such as dual-use items or military-related research. The collaboration with a public university in Tajikistan does not inherently suggest a controlled activity, as the project's scope is centered on sustainable energy management and behavioral studies. The project's outcomes are intended for civilian applications, including residential energy management and sustainable development, with no apparent connection to controlled areas like nuclear, missile, or military technologies. The project's methodology and expected results do not suggest any export control concerns.","NO
The project focuses on developing a computational system to optimize energy management in homes using behavioral patterns inspired by bees, with no indication of involvement of controlled technologies, such as dual-use items or military-related research. The collaboration with a public university in Tajikistan does not inherently suggest a controlled activity, as the project's scope is centered on sustainable energy management and behavioral studies. The project's outcomes are intended for civilian applications, including residential energy management and sustainable development, with no apparent connection to controlled areas like nuclear, missile, or military technologies. The project's methodology and expected results do not suggest any export control concerns.",,825,125,950
fbf5b19998c4c1e7,2025-10-06T14:50:52.929970+00:00,8,TUV,Tuvalu,baseline_plus_one,3,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,4916,YES,"The project is controlled due to its focus on developing underwater surveillance networks for security applications, which has potential military uses. The involvement of NATO and Thales, a major defense contractor, further suggests a military dimension. Additionally, the use of SONAR and underwater acoustic communication technologies, which have dual-use potential, increases the likelihood of export control requirements. The international collaboration, particularly with a public university in Tuvalu, also raises export control concerns.","YES
The project is controlled due to its focus on developing underwater surveillance networks for security applications, which has potential military uses. The involvement of NATO and Thales, a major defense contractor, further suggests a military dimension. Additionally, the use of SONAR and underwater acoustic communication technologies, which have dual-use potential, increases the likelihood of export control requirements. The international collaboration, particularly with a public university in Tuvalu, also raises export control concerns.",,186,91,277
511bfd71b41a20d2,2025-10-06T14:50:54.892256+00:00,2,---,(none),baseline,5,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,1862,NO,"The project focuses on reducing carbon emissions in computer networks through innovative metrics, telemetry solutions, and routing algorithms, which does not inherently involve controlled technologies such as military or dual-use items. The collaboration with international partners, including US-based entities like Intel Corporation Ltd and Yale University, does not automatically trigger export control concerns without specific controlled technologies or activities being involved. The project's aim and scope suggest a civilian application, targeting environmental sustainability rather than military or strategic advantages.","NO
The project focuses on reducing carbon emissions in computer networks through innovative metrics, telemetry solutions, and routing algorithms, which does not inherently involve controlled technologies such as military or dual-use items. The collaboration with international partners, including US-based entities like Intel Corporation Ltd and Yale University, does not automatically trigger export control concerns without specific controlled technologies or activities being involved. The project's aim and scope suggest a civilian application, targeting environmental sustainability rather than military or strategic advantages.",,172,94,266
b68688a5d53dc73d,2025-10-06T14:51:01.297291+00:00,2,CCK,Cocos (Keeling) Islands,baseline_plus_one,5,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,3253,NO,"The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of industry partners and international collaboration with universities does not inherently imply a military or dual-use application. The project's goals and partners do not suggest any controlled technologies or activities, such as those related to nuclear, missile, or military equipment. The location of the additional project partner in the Cocos (Keeling) Islands, an Australian external territory, does not introduce any specific export control concerns.","NO
The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of industry partners and international collaboration with universities does not inherently imply a military or dual-use application. The project's goals and partners do not suggest any controlled technologies or activities, such as those related to nuclear, missile, or military equipment. The location of the additional project partner in the Cocos (Keeling) Islands, an Australian external territory, does not introduce any specific export control concerns.",,190,100,290
77b243221078842b,2025-10-06T14:51:05.083123+00:00,2,TTO,Trinidad and Tobago,baseline_plus_one,5,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2059,NO,"The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of international partners, including a university in Trinidad and Tobago, does not inherently imply a military or dual-use purpose. The project's goals and partners suggest a research collaboration aimed at environmental sustainability, rather than a controlled technology or military application. The presence of industry partners like BT, Intel, and Yale University further supports the conclusion that this project is not controlled.","NO
The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of international partners, including a university in Trinidad and Tobago, does not inherently imply a military or dual-use purpose. The project's goals and partners suggest a research collaboration aimed at environmental sustainability, rather than a controlled technology or military application. The presence of industry partners like BT, Intel, and Yale University further supports the conclusion that this project is not controlled.",,187,94,281
f3d7b39a4423d2f9,2025-10-06T14:51:10.859327+00:00,24,---,(none),baseline,3,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2825,YES,"The project involves the development of security protocols and countermeasures for trusted execution environments, specifically targeting peripherals such as GPUs, NICs, and FPGAs, which are dual-use items with potential military applications. The collaboration with industry partners like ARM, Microsoft, and NVIDIA, who are major players in the development of such technologies, further suggests that the project's outcomes could have significant implications for national security and defense. The project's focus on evaluating the security guarantees of the PCIe Trusted Device Interface Security Protocol (TDISP) and developing countermeasures against various attacks also indicates that the research may involve the development of controlled technologies. As such, an export control review is necessary to ensure compliance with relevant regulations.","YES
The project involves the development of security protocols and countermeasures for trusted execution environments, specifically targeting peripherals such as GPUs, NICs, and FPGAs, which are dual-use items with potential military applications. The collaboration with industry partners like ARM, Microsoft, and NVIDIA, who are major players in the development of such technologies, further suggests that the project's outcomes could have significant implications for national security and defense. The project's focus on evaluating the security guarantees of the PCIe Trusted Device Interface Security Protocol (TDISP) and developing countermeasures against various attacks also indicates that the research may involve the development of controlled technologies. As such, an export control review is necessary to ensure compliance with relevant regulations.",,278,144,422
742d68951e901d32,2025-10-06T14:51:17.821000+00:00,25,PCN,Pitcairn,baseline_plus_one,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,4783,NO,"The JOINER project is focused on creating a national scale experimentation platform for telecommunications research, primarily within the UK, with a public university in Pitcairn as an additional partner. The project's goals and activities, such as federating existing research facilities, creating a scalable research infrastructure, and generating data for innovation, do not indicate the development or transfer of controlled technologies or items. The project's emphasis on collaborative research, experimentation, and testing in a representative network environment, as well as its focus on future networks and 6G research, does not inherently suggest controlled activities. The involvement of a public university in Pitcairn does not introduce any obvious export control concerns.","NO
The JOINER project is focused on creating a national scale experimentation platform for telecommunications research, primarily within the UK, with a public university in Pitcairn as an additional partner. The project's goals and activities, such as federating existing research facilities, creating a scalable research infrastructure, and generating data for innovation, do not indicate the development or transfer of controlled technologies or items. The project's emphasis on collaborative research, experimentation, and testing in a representative network environment, as well as its focus on future networks and 6G research, does not inherently suggest controlled activities. The involvement of a public university in Pitcairn does not introduce any obvious export control concerns.",,766,138,904
5725124f4c50a80b,2025-10-06T14:51:20.822400+00:00,26,PRT,Portugal,baseline_plus_one,3,EU,Europe,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2788,NO,"The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. While the project involves collaboration with international partners, including companies like IBM, Nokia, and Samsung, the research itself appears to be focused on developing a system for efficient collaborative learning, which is not inherently controlled under export control regulations. The project's goals and outcomes do not explicitly indicate the development of military or dual-use technologies, and the involvement of academic partners and industry leaders suggests a focus on commercial and civilian applications. The project's abstract does not mention any specific controlled technologies or features that would trigger export control review.","NO
The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. While the project involves collaboration with international partners, including companies like IBM, Nokia, and Samsung, the research itself appears to be focused on developing a system for efficient collaborative learning, which is not inherently controlled under export control regulations. The project's goals and outcomes do not explicitly indicate the development of military or dual-use technologies, and the involvement of academic partners and industry leaders suggests a focus on commercial and civilian applications. The project's abstract does not mention any specific controlled technologies or features that would trigger export control review.",,471,125,596
