run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
9df927a8f49dd188,2025-10-06T15:54:17.026174+00:00,8,PYF,French Polynesia,baseline_plus_one,3,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,3186,YES,"The project involves SONAR and underwater acoustic communication technologies, which are subject to export controls due to their potential military applications. Additionally, the involvement of NATO and Thales, entities often associated with defense and security, further necessitates an export control review.","Decision: YES
Rationale: The project involves SONAR and underwater acoustic communication technologies, which are subject to export controls due to their potential military applications. Additionally, the involvement of NATO and Thales, entities often associated with defense and security, further necessitates an export control review.",,185,57,242
700118e67297364b,2025-10-06T15:54:21.614567+00:00,6,UGA,Uganda,baseline_plus_one,1,Other,Africa,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2777,YES,"The project involves dynamic encryption and contextual key generation, which are technologies that may be subject to export controls due to their potential use in securing sensitive information and devices. Collaboration with NASA JPL and a public university in Uganda further necessitates a review to ensure compliance with UK and international export control regulations.","Decision: YES
Rationale: The project involves dynamic encryption and contextual key generation, which are technologies that may be subject to export controls due to their potential use in securing sensitive information and devices. Collaboration with NASA JPL and a public university in Uganda further necessitates a review to ensure compliance with UK and international export control regulations.",,176,67,243
79fc61018a91c490,2025-10-06T15:54:24.857595+00:00,23,TJK,Tajikistan,baseline_plus_one,10,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1031,NO,"The project focuses on developing a computational system for optimizing energy management in homes using behavioral patterns from bees, which does not involve controlled technologies or sensitive information under UK export control regulations.","NO
Rationale: The project focuses on developing a computational system for optimizing energy management in homes using behavioral patterns from bees, which does not involve controlled technologies or sensitive information under UK export control regulations.",,824,40,864
fbf5b19998c4c1e7,2025-10-06T15:54:30.191298+00:00,8,TUV,Tuvalu,baseline_plus_one,3,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1360,YES,"The project involves SONAR and underwater acoustic communication technologies, which are subject to export controls due to their potential military applications. Additionally, the involvement of NATO and Thales, entities often associated with defense and security, further necessitates an export control review.","Decision: YES
Rationale: The project involves SONAR and underwater acoustic communication technologies, which are subject to export controls due to their potential military applications. Additionally, the involvement of NATO and Thales, entities often associated with defense and security, further necessitates an export control review.",,183,57,240
511bfd71b41a20d2,2025-10-06T15:54:35.081821+00:00,2,---,(none),baseline,5,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1256,NO,"The project focuses on reducing carbon emissions in computer networks through telemetry and routing algorithms, which are not typically subject to export control regulations. The involvement of academic and industry partners does not indicate the development of controlled technology.","Decision: NO
Rationale: The project focuses on reducing carbon emissions in computer networks through telemetry and routing algorithms, which are not typically subject to export control regulations. The involvement of academic and industry partners does not indicate the development of controlled technology.",,169,49,218
b68688a5d53dc73d,2025-10-06T15:54:40.251649+00:00,2,CCK,Cocos (Keeling) Islands,baseline_plus_one,5,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1428,YES,"The involvement of a project partner located in the Cocos (Keeling) Islands, which is subject to specific export control regulations, necessitates a review. Additionally, the project's focus on advanced telemetry and routing algorithms may involve technologies that are subject to export controls.","Decision: YES
Rationale: The involvement of a project partner located in the Cocos (Keeling) Islands, which is subject to specific export control regulations, necessitates a review. Additionally, the project's focus on advanced telemetry and routing algorithms may involve technologies that are subject to export controls.",,187,60,247
77b243221078842b,2025-10-06T15:54:45.284203+00:00,2,TTO,Trinidad and Tobago,baseline_plus_one,5,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1453,YES,"The project involves international collaboration with partners from the UK, US, and Trinidad and Tobago, which may trigger export control regulations due to the potential transfer of technology and data. Additionally, the involvement of Intel Corporation Ltd and the focus on innovative networking solutions could implicate controlled technologies.","Decision: YES
Rationale: The project involves international collaboration with partners from the UK, US, and Trinidad and Tobago, which may trigger export control regulations due to the potential transfer of technology and data. Additionally, the involvement of Intel Corporation Ltd and the focus on innovative networking solutions could implicate controlled technologies.",,184,63,247
f3d7b39a4423d2f9,2025-10-06T15:54:51.226957+00:00,24,---,(none),baseline,3,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2396,YES,"The project involves developing and evaluating security protocols for Trusted Execution Environments (TEEs) and their extension to peripherals like GPUs, NICs, and FPGAs. This research could lead to the development of technologies with potential military or strategic applications, triggering export control requirements.","Decision: YES
Rationale: The project involves developing and evaluating security protocols for Trusted Execution Environments (TEEs) and their extension to peripherals like GPUs, NICs, and FPGAs. This research could lead to the development of technologies with potential military or strategic applications, triggering export control requirements.",,275,61,336
742d68951e901d32,2025-10-06T15:54:55.729294+00:00,25,PCN,Pitcairn,baseline_plus_one,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1910,NO,"The project focuses on collaborative research and experimentation in telecommunications, primarily within the UK and with a public university. It does not involve controlled technologies, military applications, or restricted international collaborations that would trigger export control review.","NO
Rationale: The project focuses on collaborative research and experimentation in telecommunications, primarily within the UK and with a public university. It does not involve controlled technologies, military applications, or restricted international collaborations that would trigger export control review.",,764,47,811
5725124f4c50a80b,2025-10-06T15:55:01.404531+00:00,26,PRT,Portugal,baseline_plus_one,3,EU,Europe,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2559,NO,"The project focuses on developing a novel decentralized learning method for AI/ML systems at scale, leveraging 5G/6G technologies and AI/ML accelerators. While it involves collaboration with industry partners, the described technology and methods do not appear to involve controlled items or sensitive information under UK export control regulations.","NO
Rationale: The project focuses on developing a novel decentralized learning method for AI/ML systems at scale, leveraging 5G/6G technologies and AI/ML accelerators. While it involves collaboration with industry partners, the described technology and methods do not appear to involve controlled items or sensitive information under UK export control regulations.",,468,68,536
f42753f6b47fc9f9,2025-10-06T15:55:06.370935+00:00,34,SWE,Sweden,baseline_plus_one,0,EU,Europe,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2540,YES,"The project involves advanced research in multiple areas, including quantum communication networks, reconfigurable intelligent surfaces (RIS), and terahertz and optical spectrum technologies, which are subject to export control regulations due to their potential dual-use applications and strategic importance.","Decision: YES
Rationale: The project involves advanced research in multiple areas, including quantum communication networks, reconfigurable intelligent surfaces (RIS), and terahertz and optical spectrum technologies, which are subject to export control regulations due to their potential dual-use applications and strategic importance.",,670,57,727
a4a7818dff92ba23,2025-10-06T15:55:10.220581+00:00,14,ITA,Italy,baseline_plus_one,3,EU,Europe,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1379,NO,"The project focuses on energy-resilient sensor systems for civilian applications such as agriculture, home automation, and healthcare, with no involvement of defense-specific or dual-use technology. Therefore, it does not require export control review.","NO
Rationale: The project focuses on energy-resilient sensor systems for civilian applications such as agriculture, home automation, and healthcare, with no involvement of defense-specific or dual-use technology. Therefore, it does not require export control review.",,194,49,243
6065f7ca4dcd35fd,2025-10-06T15:55:16.393638+00:00,2,SWE,Sweden,baseline_plus_one,5,EU,Europe,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2550,NO,"The project focuses on reducing carbon emissions in computer networks, which does not involve controlled technologies or sensitive information under UK export control regulations. The partners involved are primarily academic and commercial entities, which further supports the non-controlled nature of the project.","NO
Rationale: The project focuses on reducing carbon emissions in computer networks, which does not involve controlled technologies or sensitive information under UK export control regulations. The partners involved are primarily academic and commercial entities, which further supports the non-controlled nature of the project.",,181,52,233
6b12ca5b5ac2cc9d,2025-10-06T15:55:20.807537+00:00,14,REU,Réunion,baseline_plus_one,3,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1980,NO,"The project focuses on civilian applications such as agriculture, home automation, and healthcare, and does not involve defense-specific or dual-use technology. Therefore, it does not require export control review.","NO
Rationale: The project focuses on civilian applications such as agriculture, home automation, and healthcare, and does not involve defense-specific or dual-use technology. Therefore, it does not require export control review.",,195,43,238
7b9a2061b2fd7ff6,2025-10-06T15:55:26.414328+00:00,26,GRC,Greece,baseline_plus_one,3,EU,Europe,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2585,NO,"The project focuses on developing a novel decentralized learning method for AI/ML systems at the edge, which does not inherently involve the development, production, or transfer of controlled technology or information under UK export control regulations. The involvement of industry partners and a public university in Greece suggests collaboration but does not indicate activities that would trigger export control requirements.","NO
Rationale: The project focuses on developing a novel decentralized learning method for AI/ML systems at the edge, which does not inherently involve the development, production, or transfer of controlled technology or information under UK export control regulations. The involvement of industry partners and a public university in Greece suggests collaboration but does not indicate activities that would trigger export control requirements.",,468,73,541
273fbdab240903cb,2025-10-06T15:55:31.470990+00:00,6,NZL,New Zealand,baseline_plus_one,1,FiveEyes,Oceania,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,2637,YES,"The project involves dynamic encryption and contextual key generation, which are technologies that may be subject to export controls due to their potential use in securing sensitive devices and infrastructure. Collaboration with NASA JPL and a New Zealand university further necessitates a review to ensure compliance with international export control regulations.","Decision: YES
Rationale: The project involves dynamic encryption and contextual key generation, which are technologies that may be subject to export controls due to their potential use in securing sensitive devices and infrastructure. Collaboration with NASA JPL and a New Zealand university further necessitates a review to ensure compliance with international export control regulations.",,177,63,240
fc1ab1a4d27e38b2,2025-10-06T15:55:35.588641+00:00,14,LSO,Lesotho,baseline_plus_one,3,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,1765,NO,"The project focuses on civilian applications such as agriculture, home automation, and healthcare, and does not involve defense-specific or dual-use technology. Therefore, it does not require export control review.","NO
Rationale: The project focuses on civilian applications such as agriculture, home automation, and healthcare, and does not involve defense-specific or dual-use technology. Therefore, it does not require export control review.",,196,43,239
