model,bloc,n,yes,yes_rate,ci_lo,ci_hi
chatgpt-4o,BRICS,75,53.0,0.7066666666666667,0.5955934132076389,0.7976000278184184
chatgpt-4o,EU,405,190.0,0.4691358024691358,0.42105010284647104,0.5178015208630535
chatgpt-4o,FiveEyes,75,36.0,0.48,0.37068921756788065,0.5912598042683074
chatgpt-4o,GCC,90,64.0,0.7111111111111111,0.610357621849017,0.79458006037294
chatgpt-4o,Other,3090,1909.0,0.6177993527508091,0.6005295910563497,0.634776573292853
claude-sonnet-4,BRICS,75,50.0,0.6666666666666666,0.5541721417516369,0.7629193429467964
claude-sonnet-4,EU,405,216.0,0.5333333333333333,0.48465966635159996,0.5813805800421133
claude-sonnet-4,FiveEyes,75,39.0,0.52,0.4087401957316927,0.6293107824321195
claude-sonnet-4,GCC,90,60.0,0.6666666666666666,0.5642212433918372,0.7554664004676025
claude-sonnet-4,Other,3090,1842.0,0.596116504854369,0.5787065202012015,0.6132877952155931
gemini2.5,BRICS,75,74.0,0.9866666666666667,0.9282646257525621,0.9976425095668631
gemini2.5,EU,400,357.0,0.8925,0.858325871146031,0.9192067059832196
gemini2.5,FiveEyes,73,67.0,0.9178082191780822,0.8320540661871378,0.9617867700265799
gemini2.5,GCC,90,90.0,1.0,0.959062931578319,0.9999999999999998
gemini2.5,Other,3041,2933.0,0.9644853666557054,0.9572993362024714,0.9704993381193718
llama3.3,BRICS,75,38.0,0.5066666666666667,0.39598184412213266,0.6167018152658048
llama3.3,EU,405,152.0,0.37530864197530867,0.32952971401927433,0.42343084576720535
llama3.3,FiveEyes,75,32.0,0.4266666666666667,0.32100563365956936,0.53947411307312
llama3.3,GCC,90,44.0,0.4888888888888889,0.38820314979105425,0.5904843406183163
llama3.3,Other,3090,1293.0,0.4184466019417476,0.40116468628900925,0.43593104608461974
qwen2.5,BRICS,75,43.0,0.5733333333333334,0.46052588692688,0.6789943663404306
qwen2.5,EU,405,204.0,0.5037037037037037,0.45520295224492174,0.5521348529099352
qwen2.5,FiveEyes,75,39.0,0.52,0.4087401957316927,0.6293107824321195
qwen2.5,GCC,90,57.0,0.6333333333333333,0.530221128924694,0.7255289861628578
qwen2.5,Other,3090,1693.0,0.5478964401294498,0.5302990616480374,0.5653748733071329
