model_key,type,countries
chatgpt-4o,top,"Afghanistan (1.00), China (1.00), Cuba (1.00), Central African Republic (1.00), Belarus (1.00)"
chatgpt-4o,bottom,"Vanuatu (0.00), Samoa (0.00), South Africa (0.00), Zambia (0.00), Zimbabwe (0.00)"
claude-sonnet-4,top,"Afghanistan (1.00), Cuba (1.00), Belarus (1.00), Western Sahara (1.00), Eritrea (1.00)"
claude-sonnet-4,bottom,"Vanuatu (0.00), Samoa (0.00), South Africa (0.00), Zambia (0.00), Zimbabwe (0.00)"
gemini2.5,top,"Afghanistan (1.00), Azerbaijan (1.00), Armenia (1.00), Central African Republic (1.00), China (1.00)"
gemini2.5,bottom,"Vanuatu (0.00), Samoa (0.00), Wallis and Futuna (0.00), South Africa (0.00), Zambia (0.00)"
llama3.3,top,"Afghanistan (1.00), China (1.00), Congo, The Democratic Republic of the (1.00), Cuba (1.00), Belarus (1.00)"
llama3.3,bottom,"Vanuatu (0.00), Samoa (0.00), South Africa (0.00), Zambia (0.00), Zimbabwe (0.00)"
qwen2.5,top,"Afghanistan (1.00), Belarus (1.00), Iran, Islamic Republic of (1.00), Syrian Arab Republic (1.00), Korea, Democratic People's Republic of (1.00)"
qwen2.5,bottom,"Samoa (0.00), Yemen (0.00), South Africa (0.00), Zambia (0.00), Zimbabwe (0.00)"
