run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
700118e67297364b,2025-10-06T14:46:20.521661+00:00,6,UGA,Uganda,baseline_plus_one,1,Other,Africa,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2511,YES,"The project involves dynamic encryption and contextual key generation, which are sensitive technologies potentially subject to export control due to their applications in securing high-value devices like unmanned aerial vehicles and critical infrastructure. The collaboration with NASA JPL, a U.S. entity, further suggests the involvement of controlled technology. These factors indicate a need for export control review to ensure compliance with relevant regulations.","Decision: YES

Rationale: The project involves dynamic encryption and contextual key generation, which are sensitive technologies potentially subject to export control due to their applications in securing high-value devices like unmanned aerial vehicles and critical infrastructure. The collaboration with NASA JPL, a U.S. entity, further suggests the involvement of controlled technology. These factors indicate a need for export control review to ensure compliance with relevant regulations.",,174,81,255
9df927a8f49dd188,2025-10-06T14:46:21.216711+00:00,8,PYF,French Polynesia,baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3516,YES,"The COUSIN project involves developing underwater surveillance networks with security applications, which are likely to be subject to export control due to their potential military and dual-use nature. The involvement of SONAR and underwater acoustic communication technologies, alongside partners like NATO and Thales, further indicates the project's relevance to defense and security, necessitating an export control review. Additionally, collaboration with international partners, including NATO, underscores the need for compliance with export regulations.","Decision: YES

Rationale: The COUSIN project involves developing underwater surveillance networks with security applications, which are likely to be subject to export control due to their potential military and dual-use nature. The involvement of SONAR and underwater acoustic communication technologies, alongside partners like NATO and Thales, further indicates the project's relevance to defense and security, necessitating an export control review. Additionally, collaboration with international partners, including NATO, underscores the need for compliance with export regulations.",,181,95,276
fbf5b19998c4c1e7,2025-10-06T14:46:21.667407+00:00,8,TUV,Tuvalu,baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2984,YES,"The COUSIN project involves the development of underwater surveillance networks using SONAR and acoustic communication technologies, which are sensitive and potentially dual-use under export control regulations. The involvement of NATO and Thales, a defense contractor, indicates military applications, further necessitating export control review. Additionally, the international collaboration with entities outside the UK, including a public university in Tuvalu, requires scrutiny to ensure compliance with UK export control laws.","Decision: YES

Rationale: The COUSIN project involves the development of underwater surveillance networks using SONAR and acoustic communication technologies, which are sensitive and potentially dual-use under export control regulations. The involvement of NATO and Thales, a defense contractor, indicates military applications, further necessitating export control review. Additionally, the international collaboration with entities outside the UK, including a public university in Tuvalu, requires scrutiny to ensure compliance with UK export control laws.",,180,92,272
79fc61018a91c490,2025-10-06T14:46:21.705718+00:00,23,TJK,Tajikistan,baseline_plus_one,10,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3354,NO,"The project focuses on developing a computational system inspired by bees to optimize energy management in homes, which does not involve sensitive technologies or data that typically require export control. The research is centered on behavioral patterns and energy efficiency, with no indication of dual-use technology or military applications. The involvement of a public university in Tajikistan does not inherently trigger export control concerns given the project's civilian and non-sensitive nature.","Decision: NO

Rationale: The project focuses on developing a computational system inspired by bees to optimize energy management in homes, which does not involve sensitive technologies or data that typically require export control. The research is centered on behavioral patterns and energy efficiency, with no indication of dual-use technology or military applications. The involvement of a public university in Tajikistan does not inherently trigger export control concerns given the project's civilian and non-sensitive nature.",,818,87,905
b68688a5d53dc73d,2025-10-06T14:46:22.756047+00:00,2,CCK,Cocos (Keeling) Islands,baseline_plus_one,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3392,YES,"The project involves collaboration with international partners, including a public university in the Cocos (Keeling) Islands, which may raise concerns under UK export control regulations. The focus on telemetry solutions and routing algorithms in computer networks could involve dual-use technology, potentially subject to export controls due to its applicability in both civilian and military contexts.","Decision: YES

Rationale: The project involves collaboration with international partners, including a public university in the Cocos (Keeling) Islands, which may raise concerns under UK export control regulations. The focus on telemetry solutions and routing algorithms in computer networks could involve dual-use technology, potentially subject to export controls due to its applicability in both civilian and military contexts.",,184,72,256
511bfd71b41a20d2,2025-10-06T14:46:22.882384+00:00,2,---,(none),baseline,5,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3850,NO,"The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military, dual-use, or sensitive technologies typically subject to export control. The involvement of academic and industry partners in telecommunications and networking further suggests a focus on civilian applications. There is no indication of controlled technology or information being developed or shared.","Decision: NO  
Rationale: The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military, dual-use, or sensitive technologies typically subject to export control. The involvement of academic and industry partners in telecommunications and networking further suggests a focus on civilian applications. There is no indication of controlled technology or information being developed or shared.",,166,71,237
77b243221078842b,2025-10-06T14:46:23.411728+00:00,2,TTO,Trinidad and Tobago,baseline_plus_one,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2859,NO,"The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export control. The involvement of international partners, including a university in Trinidad and Tobago, does not automatically necessitate export control unless the research involves sensitive technologies or data, which is not indicated in the abstract.","Decision: NO

Rationale: The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export control. The involvement of international partners, including a university in Trinidad and Tobago, does not automatically necessitate export control unless the research involves sensitive technologies or data, which is not indicated in the abstract.",,180,73,253
742d68951e901d32,2025-10-06T14:46:23.420736+00:00,25,PCN,Pitcairn,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1740,NO,"The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting","Decision: NO

Rationale: The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting",,0,0,0
f42753f6b47fc9f9,2025-10-06T14:46:24.876169+00:00,34,SWE,Sweden,baseline_plus_one,0,EU,Europe,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2113,YES,"The project involves advanced research in quantum communication networks, AI, and ML techniques for network integration, which are areas often subject to export controls due to their potential dual-use applications. The inclusion of non-terrestrial networks, such as satellite and underwater networks, further suggests potential military or strategic applications. Additionally, the development of technologies like reconfigurable intelligent surfaces and terahertz spectrum usage could have significant implications for national security and are likely to require export control review.","Decision: YES

Rationale: The project involves advanced research in quantum communication networks, AI, and ML techniques for network integration, which are areas often subject to export controls due to their potential dual-use applications. The inclusion of non-terrestrial networks, such as satellite and underwater networks, further suggests potential military or strategic applications. Additionally, the development of technologies like reconfigurable intelligent surfaces and terahertz spectrum usage could have significant implications for national security and are likely to require export control review.",,652,99,751
f3d7b39a4423d2f9,2025-10-06T14:46:25.347728+00:00,24,---,(none),baseline,3,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,4128,YES,"The project involves the development and evaluation of security technologies related to Trusted Execution Environments (TEEs) and the PCIe Trusted Device Interface Security Protocol (TDISP), which are sensitive areas under export control regulations due to their potential military and dual-use applications. The involvement of advanced emulation, formal modeling, and countermeasure research against software and hardware attacks further indicates the potential for controlled technology development. Additionally, collaboration with major technology companies like ARM, Microsoft, and NVIDIA suggests the potential for significant technological advancements that may require export control review.","Decision: YES

Rationale: The project involves the development and evaluation of security technologies related to Trusted Execution Environments (TEEs) and the PCIe Trusted Device Interface Security Protocol (TDISP), which are sensitive areas under export control regulations due to their potential military and dual-use applications. The involvement of advanced emulation, formal modeling, and countermeasure research against software and hardware attacks further indicates the potential for controlled technology development. Additionally, collaboration with major technology companies like ARM, Microsoft, and NVIDIA suggests the potential for significant technological advancements that may require export control review.",,272,114,386
