project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,prompt_text
24,CHN,China,baseline_plus_one,3,BRICS,Asia,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: IOTEE: Securing and analysing trusted execution beyond the CPU
Abstract: Trusted Execution Environments (TEEs) allow users to run their software in a secure enclave while assuring the integrity and confidentiality of data and applications. However, cloud computing these days relies heavily on peripherals such as GPUs, NICs, and FPGAs. Extending the security guarantees of CPU TEEs to such accelerators is currently not possible. New technologies are being proposed to address this, notably the PCIe Trusted Device Interface Security Protocol (TDISP). IOTEE is aims to evaluate the security guarantees of this new PCIe standard and its ability to provide trusted execution against strong adversaries. This will involve developing an emulator for the protocol, the use of formal modelling, as well as researching countermeasures against various software and hardware attacks.
Organisation: University of Southampton   Department: Sch of Electronics and Computer Sci
Project Partners:
- ARM Ltd
- Microsoft
- nVIDIA.
- Additional project partner: a public university located in China.

Decision: YES/NO
Rationale: (2-4 sentences)"
7,SWZ,Eswatini,baseline_plus_one,3,Other,Other,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: ContRol methods for rELiable sensIng informAtion in interConnected Energy systems
Abstract: The project focuses on improving the resilience and reliability of IoT-based sensing and control in interconnected energy systems. Applications include smart grids, microgrids, and electric vehicle charging, with an emphasis on mitigating sensor faults, communication issues, and cyber-physical attacks.
Organisation: UCL   Department: Electronic and Electrical Engineering
Project Partners:
- Imperial College London
- Sygensys
- University of Cyprus.
- Additional project partner: a public university located in Eswatini.

Decision: YES/NO
Rationale: (2-4 sentences)"
34,AUT,Austria,baseline_plus_one,0,EU,Europe,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: Platform Driving The Ultimate Connectivity
Abstract: The research of the TITAN platform is geared towards the ultimate network of networks and is structured in six strongly interconnected lighthouse projects which reflect all network elements - 1) the core, 2) optical fibre, 3) radio frequency (RF) including cellular and wireless networks, 4) emerging optical wireless networks for access and backhaul, 5) non-terrestrial networks involving satellites, aerial and underwater networks, and finally 6) quantum communication networks. The research on the core network focuses on a new architecture and artificial intelligence (AI) techniques that enable the integration of multi-access technologies for a seamless end-to-end service delivery by considering advanced requirements in terms of data rate, latency, security and energy efficiency. TITAN will conduct novel research that aims at orchestrating the different existing and emerging RF networks (3G, 4G, 5G, 6G, WiFi, Bluetooth, etc.) towards a single network by developing techniques that would optimally select the respective RF network, or networks, and develop the respective protocols to enable a seamless end-to-end connection. Because of the undisputed need for new spectrum in future networks, TITAN will crucially include new networks that are built around the terahertz and optical spectrum. Since these networks will benefit from new intelligent reflecting surfaces as part of a new network element, TITAN will include research on the networking aspects and the integration of reconfigurable intelligent surfaces (RIS) by building on the work on AI and machine learning (ML) developed for other parts of the network, such as edge and core. Optical fibre networks are an important element of a network of networks. Therefore, TITAN will address research questions on the optimum integration of advanced optical fibre technologies such as hollowcore fibres and new agile transceiver technologies to support key network requirements such as latency. Universal service availability and what is described as the 'digital divide' represent an increasing societal challenge. Therefore, TITAN will conduct critical research on the integration of non-terrestrial networks which include aerial, satellite and underwater networks all geared towards a seamless end-to-end service provision which is achieved by the holistic approach of TITAN. Lastly, TITAN will meaningfully integrate new quantum network technologies alongside conventional networks and will provide important guidance on the optimum use of both fundamental networks. An important consideration of TITAN is the extraction of sensing information from networks. All network elements have particular features and, in conjunction with ML techniques, important side information can be extracted. TITAN will investigate this capability for each network segment, but crucially brings the independent sensing information together to achieve an ultra-cognitive network which exhibits the highest level of self-x (configuration, healing, automation, optimisation).
Organisation: University of Cambridge   Department: Engineering
Project Partners:
- Additional project partner: a public university located in Austria.

Decision: YES/NO
Rationale: (2-4 sentences)"
6,ECU,Ecuador,baseline_plus_one,1,Other,South America,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: Chameleon: Dynamic Device-Unique Confidentiality and Fingerprinting
Abstract: The project aims to secure high-value devices in hostile environments through dynamic encryption and contextual key generation, protecting IP and enhancing confidentiality. Applications include unmanned aerial vehicles, industrial IoT, and critical infrastructure, with collaboration from NASA JPL.
Organisation: University of Essex   Department: Computer Sci and Electronic Engineering
Project Partners:
- NASA JPL
- Additional project partner: a public university located in Ecuador.

Decision: YES/NO
Rationale: (2-4 sentences)"
10,SMR,San Marino,baseline_plus_one,0,Other,Other,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: CyReSE: Cyber Security Research Software Engineering
Abstract: The CyReSE project supports research software engineering for cyber security, particularly IoT attack mitigation and malware analysis, through the development of testbeds and research frameworks. The focus is on supporting cyber security research, without producing restricted technologies.
Organisation: Queen's University of Belfast   Department: Sch of Electronics, Elec Eng & Comp Sci
Project Partners:
- Additional project partner: a public university located in San Marino.

Decision: YES/NO
Rationale: (2-4 sentences)"
1,VCT,Saint Vincent and the Grenadines,baseline_plus_one,0,Other,Other,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: A prototype interface between neutral-atom quantum processors and superconducting circuits
Abstract: Major advances have occurred in the development of new approaches to quantum computing over the last 5 years. Perhaps the most significant of these is an approach that uses individual atoms as qubits, that can be positioned in arbitrary three-dimensional geometries using tightly-focussed laser beams known as optical tweezers. Interactions between these qubits can be turned on and off at will, by exciting them in a controlled way with additional lasers to quantum states very close to their ionisation limits. These states are known as Rydberg states and their extreme properties, and the strong interactions between atoms excited to them, have been key to the rapid recent advances in the development of this type of neutral-atom quantum processor. Neutral-atom quantum processors have been implemented with in up to 200 qubits to solve problems of interest to condensed matter physicists and materials scientists, and possibilities exist to move beyond this limit to perform more complex quantum computations. However, there is also a strong motivation to develop techniques to network spatially separated neutral-atom processors, or to link them to other quantum computing platforms. Through this project, we will develop and demonstrate a prototype quantum interface of this kind. This will be achieved by implementing a quantum link between small numbers of helium atoms in optical tweezers, and superconducting electrical circuits through the controlled transfer of individual microwave photons from one to the other. The experimental tools developed and refined through this work, will provide a path toward the realisation of every larger and more complex quantum processors, with different components optimised for distinct computational tasks.
Organisation: UCL   Department: Physics and Astronomy
Project Partners:
- Additional project partner: a public university located in Saint Vincent and the Grenadines.

Decision: YES/NO
Rationale: (2-4 sentences)"
24,SVN,Slovenia,baseline_plus_one,3,EU,Europe,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: IOTEE: Securing and analysing trusted execution beyond the CPU
Abstract: Trusted Execution Environments (TEEs) allow users to run their software in a secure enclave while assuring the integrity and confidentiality of data and applications. However, cloud computing these days relies heavily on peripherals such as GPUs, NICs, and FPGAs. Extending the security guarantees of CPU TEEs to such accelerators is currently not possible. New technologies are being proposed to address this, notably the PCIe Trusted Device Interface Security Protocol (TDISP). IOTEE is aims to evaluate the security guarantees of this new PCIe standard and its ability to provide trusted execution against strong adversaries. This will involve developing an emulator for the protocol, the use of formal modelling, as well as researching countermeasures against various software and hardware attacks.
Organisation: University of Southampton   Department: Sch of Electronics and Computer Sci
Project Partners:
- ARM Ltd
- Microsoft
- nVIDIA.
- Additional project partner: a public university located in Slovenia.

Decision: YES/NO
Rationale: (2-4 sentences)"
6,SVN,Slovenia,baseline_plus_one,1,EU,Europe,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: Chameleon: Dynamic Device-Unique Confidentiality and Fingerprinting
Abstract: The project aims to secure high-value devices in hostile environments through dynamic encryption and contextual key generation, protecting IP and enhancing confidentiality. Applications include unmanned aerial vehicles, industrial IoT, and critical infrastructure, with collaboration from NASA JPL.
Organisation: University of Essex   Department: Computer Sci and Electronic Engineering
Project Partners:
- NASA JPL
- Additional project partner: a public university located in Slovenia.

Decision: YES/NO
Rationale: (2-4 sentences)"
18,SVK,Slovakia,baseline_plus_one,31,EU,Europe,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: EPSRC Centre for Doctoral Training in Cyber Security for the Everyday
Abstract: The CDT focuses on cyber security in everyday digital systems and societal interaction, covering cryptographic tools, AI-based vulnerability detection, and system security. It involves defense and security-focused partners, indicating dual-use potential.
Organisation: Royal Holloway, Univ of London   Department: Information Security
Project Partners:
- Abatis (UK) Ltd
- Ascertia
- BAE Systems
- BT
- Cloudflare
- CREST UK
- Crypto Quantique
- Global Transatlantic Ltd
- Hewlett Packard Inc
- Huawei Group
- IBM UK Ltd
- ID Quantique
- Information Security Forum Limited
- ISARA Corporation
- KPMG (UK)
- Mastercard
- Microsoft
- National Cyber Security Centre
- NCC Group
- NPSO Ltd
- NXP Semiconductors
- OneSpan
- PQ Solutions Limited
- Price Waterhouse Coopers LLP
- Primary Key Associates Limited
- Roke Manor Research Ltd
- Sciemus Ltd
- Security Matters
- Thales Ltd
- Toshiba
- Vodafone UK Limited
- Additional project partner: a public university located in Slovakia.

Decision: YES/NO
Rationale: (2-4 sentences)"
6,NLD,Netherlands,baseline_plus_one,1,EU,Europe,"You are assessing whether the following UK research project requires export control review.
Return a single label: YES (controlled) or NO (not controlled), then a concise rationale referencing specific features.

Title: Chameleon: Dynamic Device-Unique Confidentiality and Fingerprinting
Abstract: The project aims to secure high-value devices in hostile environments through dynamic encryption and contextual key generation, protecting IP and enhancing confidentiality. Applications include unmanned aerial vehicles, industrial IoT, and critical infrastructure, with collaboration from NASA JPL.
Organisation: University of Essex   Department: Computer Sci and Electronic Engineering
Project Partners:
- NASA JPL
- Additional project partner: a public university located in Netherlands.

Decision: YES/NO
Rationale: (2-4 sentences)"
