model,region,b0p1,b1p0,n,p_mcnemar,p_adj,reject_fdr
chatgpt-4o,Other,1195,321,12713,2.4286776705797026e-111,1.700074369405792e-110,True
chatgpt-4o,Asia,204,16,1493,1.9189571265375013e-36,6.716349942881254e-36,True
chatgpt-4o,Africa,70,17,823,2.475509375175077e-08,5.7761885420751796e-08,True
chatgpt-4o,South America,74,23,972,3.8398424620604434e-07,6.719724308605777e-07,True
chatgpt-4o,North America,13,3,223,0.0244489453100893,0.034228523434125,True
claude-sonnet-4,Other,1195,321,12713,2.4286776705797026e-111,1.700074369405792e-110,True
claude-sonnet-4,Asia,204,16,1493,1.9189571265375013e-36,6.716349942881254e-36,True
claude-sonnet-4,Africa,70,17,823,2.475509375175077e-08,5.7761885420751796e-08,True
claude-sonnet-4,South America,74,23,972,3.8398424620604434e-07,6.719724308605777e-07,True
claude-sonnet-4,North America,13,3,223,0.0244489453100893,0.034228523434125,True
gemini2.5,Other,1195,321,12713,2.4286776705797026e-111,1.700074369405792e-110,True
gemini2.5,Asia,204,16,1493,1.9189571265375013e-36,6.716349942881254e-36,True
gemini2.5,Africa,70,17,823,2.475509375175077e-08,5.7761885420751796e-08,True
gemini2.5,South America,74,23,972,3.8398424620604434e-07,6.719724308605777e-07,True
gemini2.5,North America,13,3,223,0.0244489453100893,0.034228523434125,True
llama3.3,Other,1195,321,12713,2.4286776705797026e-111,1.700074369405792e-110,True
llama3.3,Asia,204,16,1493,1.9189571265375013e-36,6.716349942881254e-36,True
llama3.3,Africa,70,17,823,2.475509375175077e-08,5.7761885420751796e-08,True
llama3.3,South America,74,23,972,3.8398424620604434e-07,6.719724308605777e-07,True
llama3.3,North America,13,3,223,0.0244489453100893,0.034228523434125,True
qwen2.5,Other,1195,321,12713,2.4286776705797026e-111,1.700074369405792e-110,True
qwen2.5,Asia,204,16,1493,1.9189571265375013e-36,6.716349942881254e-36,True
qwen2.5,Africa,70,17,823,2.475509375175077e-08,5.7761885420751796e-08,True
qwen2.5,South America,74,23,972,3.8398424620604434e-07,6.719724308605777e-07,True
qwen2.5,North America,13,3,223,0.0244489453100893,0.034228523434125,True
