run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
13c2519bdd7f47239ce038d6bb47788794650410,2025-10-26T16:52:36.167110+00:00,34,---,(none),baseline,0,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,1516,YES,"The project involves research on advanced communication technologies, including quantum communication networks, AI-driven network orchestration, and non-terrestrial networks (satellites, aerial, and underwater). These areas are sensitive and potentially dual-use, as they can be applied to both civilian and military applications. The inclusion of quantum technologies and AI for network optimization further necessitates an export control review due to their strategic importance and potential implications for national security.","Decision: YES

Rationale: The project involves research on advanced communication technologies, including quantum communication networks, AI-driven network orchestration, and non-terrestrial networks (satellites, aerial, and underwater). These areas are sensitive and potentially dual-use, as they can be applied to both civilian and military applications. The inclusion of quantum technologies and AI for network optimization further necessitates an export control review due to their strategic importance and potential implications for national security.",,643,92,735
01f12b9a0063a8fd09ee394aa7cae3dbdad2cd66,2025-10-26T16:52:36.693529+00:00,2,---,(none),baseline,0,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,1727,NO,"The project involves research on reducing carbon emissions in computer networks, which does not inherently involve controlled technologies or sensitive information. There are no indications of military applications, dual-use technologies, or collaboration with international partners that might necessitate export control review. The focus is on environmental impact and efficiency, which typically falls outside the scope of export controls.","Decision: NO  
Rationale: The project involves research on reducing carbon emissions in computer networks, which does not inherently involve controlled technologies or sensitive information. There are no indications of military applications, dual-use technologies, or collaboration with international partners that might necessitate export control review. The focus is on environmental impact and efficiency, which typically falls outside the scope of export controls.",,145,74,219
df82e923bde3aed2558b032b7a8b8ab6bb14b9a1,2025-10-26T16:52:37.218863+00:00,18,---,(none),baseline,0,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,1580,YES,"The project involves research in cyber security, specifically in cryptographic tools and AI-based vulnerability detection, which are areas with dual-use potential as they can be applied to both civilian and military systems. The involvement of defense and security-focused partners further suggests that the research could have applications relevant to national security, necessitating an export control review.","Decision: YES

Rationale: The project involves research in cyber security, specifically in cryptographic tools and AI-based vulnerability detection, which are areas with dual-use potential as they can be applied to both civilian and military systems. The involvement of defense and security-focused partners further suggests that the research could have applications relevant to national security, necessitating an export control review.",,156,73,229
4a62b2b4d9847f1cb3e0fd4b07f9226f43307c7f,2025-10-26T16:52:37.582167+00:00,25,---,(none),content_only,0,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,1594,NO,"The JOINER project focuses on creating an open and federated experimental platform for telecommunications research within the UK, primarily supporting academia and industry. It does not involve the development or transfer of controlled technologies, sensitive data, or military applications. The project's aim is to enhance research infrastructure and collaboration, which does not inherently require export control review.","Decision: NO  
Rationale: The JOINER project focuses on creating an open and federated experimental platform for telecommunications research within the UK, primarily supporting academia and industry. It does not involve the development or transfer of controlled technologies, sensitive data, or military applications. The project's aim is to enhance research infrastructure and collaboration, which does not inherently require export control review.",,760,73,833
71154b5775ddd45e7f4821273ff29e25f9a7b330,2025-10-26T16:52:37.911660+00:00,26,---,(none),baseline,0,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,2605,NO,"The KUber project focuses on developing a decentralized architecture for AI/ML model training and knowledge sharing, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not involve the development or use of controlled technologies, such as encryption software, military applications, or dual-use items that would typically trigger export control requirements. The project is primarily academic and aims to enhance collaborative learning, which is not subject to export controls.","Decision: NO

Rationale: The KUber project focuses on developing a decentralized architecture for AI/ML model training and knowledge sharing, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not involve the development or use of controlled technologies, such as encryption software, military applications, or dual-use items that would typically trigger export control requirements. The project is primarily academic and aims to enhance collaborative learning, which is not subject to export controls.",,441,97,538
1282a729221905b467266a274e9baf4dac315e42,2025-10-26T16:52:38.189789+00:00,1,---,(none),baseline,0,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,1870,YES,"The project involves the development of a prototype interface between neutral-atom quantum processors and superconducting circuits, which are advanced quantum computing technologies. Such technologies are often subject to export control due to their potential dual-use nature, as they can be applied in both civilian and military contexts. The project also involves the manipulation of quantum states and the transfer of microwave photons, which are sensitive areas under export control regulations.","Decision: YES

Rationale: The project involves the development of a prototype interface between neutral-atom quantum processors and superconducting circuits, which are advanced quantum computing technologies. Such technologies are often subject to export control due to their potential dual-use nature, as they can be applied in both civilian and military contexts. The project also involves the manipulation of quantum states and the transfer of microwave photons, which are sensitive areas under export control regulations.",,423,87,510
c1d33f6a1bfeadf0a655cb499b2996aa2369adfd,2025-10-26T16:52:40.801824+00:00,10,CHE,Switzerland,single_partner,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,1716,YES,"The inclusion of a public university in Switzerland as a project partner does not inherently introduce export control concerns, as Switzerland is not subject to UK export restrictions and is generally considered a low-risk country in terms of technology transfer. The project's focus on research software engineering for cyber security, without producing restricted technologies, aligns with the UK's export control regulations, which primarily target the transfer of military or dual-use technologies. Therefore, the collaboration with a Swiss university does not necessitate a change in the decision.","1) Decision: YES

2) Rationale: The inclusion of a public university in Switzerland as a project partner does not inherently introduce export control concerns, as Switzerland is not subject to UK export restrictions and is generally considered a low-risk country in terms of technology transfer. The project's focus on research software engineering for cyber security, without producing restricted technologies, aligns with the UK's export control regulations, which primarily target the transfer of military or dual-use technologies. Therefore, the collaboration with a Swiss university does not necessitate a change in the decision.",,187,108,295
788569b43dcb3cbed2e7cafab0b2733941821db3,2025-10-26T16:52:41.126753+00:00,6,CMR,Cameroon,single_partner,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,2687,NO,"The inclusion of a public university in Cameroon as a project partner introduces potential export control concerns under UK regulations, particularly the Export Control Order 2008. Given the project's focus on encryption and security technologies, which are often subject to strict export controls, collaboration with an international partner from a country that may not have equivalent export control measures could pose a risk of unauthorized technology transfer. Additionally, the involvement of sensitive applications such as UAVs and critical infrastructure heightens the need for careful compliance with export control laws. Therefore, without further details on the specific nature of the collaboration and assurances of compliance, the decision remains negative.","1) Decision: NO

2) Rationale: The inclusion of a public university in Cameroon as a project partner introduces potential export control concerns under UK regulations, particularly the Export Control Order 2008. Given the project's focus on encryption and security technologies, which are often subject to strict export controls, collaboration with an international partner from a country that may not have equivalent export control measures could pose a risk of unauthorized technology transfer. Additionally, the involvement of sensitive applications such as UAVs and critical infrastructure heightens the need for careful compliance with export control laws. Therefore, without further details on the specific nature of the collaboration and assurances of compliance, the decision remains negative.",,184,133,317
1b753e40ff5e5de102337849d1e6e1d1103b0e07,2025-10-26T16:52:41.442796+00:00,24,MSR,Montserrat,single_partner,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,2700,NO,"The inclusion of a public university from Montserrat, a British Overseas Territory, does not inherently change the export control considerations for this project. The project involves research into security technologies that could be subject to export controls under the UK Strategic Export Control Lists, particularly if it involves cryptographic technology or dual-use items. Montserrat, being a British Overseas Territory, is subject to UK export control regulations, but the project's focus on developing and evaluating security protocols for TEEs and related hardware could still require careful assessment to ensure compliance with these regulations. Without further details on the specific technologies and their potential applications, a definitive decision cannot be made.","1) Decision: NO

2) Rationale: The inclusion of a public university from Montserrat, a British Overseas Territory, does not inherently change the export control considerations for this project. The project involves research into security technologies that could be subject to export controls under the UK Strategic Export Control Lists, particularly if it involves cryptographic technology or dual-use items. Montserrat, being a British Overseas Territory, is subject to UK export control regulations, but the project's focus on developing and evaluating security protocols for TEEs and related hardware could still require careful assessment to ensure compliance with these regulations. Without further details on the specific technologies and their potential applications, a definitive decision cannot be made.",,289,136,425
93531c0d1f2b6354cff0e693240d498feab64aa6,2025-10-26T16:52:41.647006+00:00,34,EST,Estonia,single_partner,0,EU,Europe,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.2,1557,NO,"The inclusion of an international partner, specifically a public university in Estonia, introduces potential export control considerations under UK law. The project involves advanced technologies such as AI, RF networks, and quantum communication, which may be subject to export controls due to their dual-use nature. Estonia, while an EU member, is still a foreign entity, and collaboration could require export licenses or compliance with specific regulations like the UK Export Control Order 2008. Without further details on the specific technologies and data shared, a definitive approval cannot be granted.","1) Decision: NO

2) Rationale: The inclusion of an international partner, specifically a public university in Estonia, introduces potential export control considerations under UK law. The project involves advanced technologies such as AI, RF networks, and quantum communication, which may be subject to export controls due to their dual-use nature. Estonia, while an EU member, is still a foreign entity, and collaboration could require export licenses or compliance with specific regulations like the UK Export Control Order 2008. Without further details on the specific technologies and data shared, a definitive approval cannot be granted.",,667,116,783
