model,bloc,b0p1,b1p0,n,p_mcnemar,p_adj,reject_fdr
chatgpt-4o,Other,1441,374,15401,3.5391349712931113e-138,1.7695674856465556e-137,True
chatgpt-4o,GCC,67,4,450,1.8662134996508846e-13,4.66553374912721e-13,True
chatgpt-4o,BRICS,51,3,375,1.5961500528983589e-10,2.6602500881639317e-10,True
claude-sonnet-4,Other,1441,374,15401,3.5391349712931113e-138,1.7695674856465556e-137,True
claude-sonnet-4,GCC,67,4,450,1.8662134996508846e-13,4.66553374912721e-13,True
claude-sonnet-4,BRICS,51,3,375,1.5961500528983589e-10,2.6602500881639317e-10,True
gemini2.5,Other,1441,374,15401,3.5391349712931113e-138,1.7695674856465556e-137,True
gemini2.5,GCC,67,4,450,1.8662134996508846e-13,4.66553374912721e-13,True
gemini2.5,BRICS,51,3,375,1.5961500528983589e-10,2.6602500881639317e-10,True
llama3.3,Other,1441,374,15401,3.5391349712931113e-138,1.7695674856465556e-137,True
llama3.3,GCC,67,4,450,1.8662134996508846e-13,4.66553374912721e-13,True
llama3.3,BRICS,51,3,375,1.5961500528983589e-10,2.6602500881639317e-10,True
qwen2.5,Other,1441,374,15401,3.5391349712931113e-138,1.7695674856465556e-137,True
qwen2.5,GCC,67,4,450,1.8662134996508846e-13,4.66553374912721e-13,True
qwen2.5,BRICS,51,3,375,1.5961500528983589e-10,2.6602500881639317e-10,True
