run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
f531645cdec12c6a,2025-10-05T21:31:45.035438+00:00,1,---,(none),baseline,0,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2300,YES,"The project involves the development of a quantum interface between neutral-atom quantum processors and superconducting circuits, which is a sensitive technology with potential military applications. The use of Rydberg states and the controlled transfer of individual microwave photons also suggests a high level of technical sophistication, potentially relevant to export control regulations. Additionally, the project's goal of developing techniques to network spatially separated neutral-atom processors or link them to other quantum computing platforms may be of interest to foreign governments or entities with military or intelligence applications. These features suggest that the project may be subject to export control regulations, requiring a thorough review.","YES
The project involves the development of a quantum interface between neutral-atom quantum processors and superconducting circuits, which is a sensitive technology with potential military applications. The use of Rydberg states and the controlled transfer of individual microwave photons also suggests a high level of technical sophistication, potentially relevant to export control regulations. Additionally, the project's goal of developing techniques to network spatially separated neutral-atom processors or link them to other quantum computing platforms may be of interest to foreign governments or entities with military or intelligence applications. These features suggest that the project may be subject to export control regulations, requiring a thorough review.",,430,125,555
e920ff3c1849affc,2025-10-05T21:31:49.806951+00:00,26,---,(none),baseline,3,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2084,NO,"The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. While it involves collaboration with international partners, including Samsung AI Centre, the project's primary goal is to improve the efficiency and scalability of AI/ML methods, which is not inherently controlled under export regulations. The technology itself does not appear to have direct military or dual-use applications, and the involvement of industry partners suggests a focus on commercial applications. The project's abstract does not indicate any specific features that would trigger export control concerns.","NO
The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. While it involves collaboration with international partners, including Samsung AI Centre, the project's primary goal is to improve the efficiency and scalability of AI/ML methods, which is not inherently controlled under export regulations. The technology itself does not appear to have direct military or dual-use applications, and the involvement of industry partners suggests a focus on commercial applications. The project's abstract does not indicate any specific features that would trigger export control concerns.",,459,108,567
1b963366ec72b25f,2025-10-05T21:31:55.304657+00:00,23,DJI,Djibouti,baseline_plus_one,10,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2577,NO,"The project focuses on developing a computational system to optimize energy management in homes, inspired by bees' social organization and communication, and does not involve any controlled technologies, such as dual-use items or military-related equipment. The research is primarily social science-based, using mixed methods to study energy use in homes and develop a user-focused approach to managing energy. The project partners are primarily academic institutions and industry partners in the UK and Djibouti, with no indication of involvement in controlled activities. The project's outcomes are intended to benefit residents, housing developers, and energy policymakers, with no apparent connection to controlled technologies or applications.","NO
The project focuses on developing a computational system to optimize energy management in homes, inspired by bees' social organization and communication, and does not involve any controlled technologies, such as dual-use items or military-related equipment. The research is primarily social science-based, using mixed methods to study energy use in homes and develop a user-focused approach to managing energy. The project partners are primarily academic institutions and industry partners in the UK and Djibouti, with no indication of involvement in controlled activities. The project's outcomes are intended to benefit residents, housing developers, and energy policymakers, with no apparent connection to controlled technologies or applications.",,826,127,953
2d98e4e13818f08b,2025-10-05T21:32:00.004518+00:00,26,VGB,"Virgin Islands, British",baseline_plus_one,3,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2294,NO,"The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. The technology appears to be dual-use, but there is no indication of military or sensitive applications. The involvement of international partners, including a university in the British Virgin Islands, does not inherently suggest a controlled technology, as the collaboration is with reputable organizations and a public university. The project's goals and outcomes seem to be focused on improving AI/ML methods for daily-life applications, which does not suggest a controlled technology.","NO
The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. The technology appears to be dual-use, but there is no indication of military or sensitive applications. The involvement of international partners, including a university in the British Virgin Islands, does not inherently suggest a controlled technology, as the collaboration is with reputable organizations and a public university. The project's goals and outcomes seem to be focused on improving AI/ML methods for daily-life applications, which does not suggest a controlled technology.",,474,106,580
cc9f5212b4af8441,2025-10-05T21:32:04.625193+00:00,2,TCA,Turks and Caicos Islands,baseline_plus_one,5,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,1910,NO,"The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of industry partners and international collaboration with universities does not inherently suggest a military or dual-use application. The project's abstract does not mention any controlled technologies, such as encryption, surveillance, or military-specific equipment. The participation of a university from Turks and Caicos Islands, a British Overseas Territory, does not introduce any specific export control concerns.","NO
The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of industry partners and international collaboration with universities does not inherently suggest a military or dual-use application. The project's abstract does not mention any controlled technologies, such as encryption, surveillance, or military-specific equipment. The participation of a university from Turks and Caicos Islands, a British Overseas Territory, does not introduce any specific export control concerns.",,188,90,278
1aa5209d1b7a6b6f,2025-10-05T21:32:13.648764+00:00,14,SHN,"Saint Helena, Ascension and Tristan da Cunha",baseline_plus_one,3,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,5913,NO,"The project focuses on energy-resilient sensor systems for IoT applications in civilian areas such as agriculture, home automation, and healthcare, with no indication of defense-specific or dual-use technology. The involvement of industry partners like ARM Ltd and academic institutions like ETH Zurich and a public university in Saint Helena, Ascension and Tristan da Cunha does not inherently suggest controlled technologies. The application areas and technologies described do not trigger export control concerns based on typical dual-use or military end-use criteria. The project's emphasis on energy harvesting for IoT devices in non-sensitive sectors supports this determination.","NO
The project focuses on energy-resilient sensor systems for IoT applications in civilian areas such as agriculture, home automation, and healthcare, with no indication of defense-specific or dual-use technology. The involvement of industry partners like ARM Ltd and academic institutions like ETH Zurich and a public university in Saint Helena, Ascension and Tristan da Cunha does not inherently suggest controlled technologies. The application areas and technologies described do not trigger export control concerns based on typical dual-use or military end-use criteria. The project's emphasis on energy harvesting for IoT devices in non-sensitive sectors supports this determination.",,207,118,325
e274f0f4407d9e75,2025-10-05T21:32:15.753660+00:00,26,IND,India,baseline_plus_one,3,BRICS,Asia,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2087,NO,"The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. While the project involves collaboration with international partners, including a public university in India, the research itself does not appear to involve controlled technologies, such as military or dual-use items. The project's goals and methods are related to improving the efficiency and scalability of machine learning models, which is a general-purpose technology. There is no indication of any specific export-controlled technologies or applications being developed.","NO
The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. While the project involves collaboration with international partners, including a public university in India, the research itself does not appear to involve controlled technologies, such as military or dual-use items. The project's goals and methods are related to improving the efficiency and scalability of machine learning models, which is a general-purpose technology. There is no indication of any specific export-controlled technologies or applications being developed.",,471,99,570
36a8dff9d7c3fe0c,2025-10-05T21:32:21.025789+00:00,10,SMR,San Marino,baseline_plus_one,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2360,NO,"The project's focus is on supporting cyber security research, particularly IoT attack mitigation and malware analysis, without producing restricted technologies. The development of testbeds and research frameworks for these purposes does not inherently suggest the creation of controlled items. The involvement of a public university in San Marino as a project partner does not introduce any apparent export control concerns, as the collaboration is for research purposes and not for the development of controlled technologies. The project's stated goals and scope do not indicate the production or transfer of controlled items.","NO
The project's focus is on supporting cyber security research, particularly IoT attack mitigation and malware analysis, without producing restricted technologies. The development of testbeds and research frameworks for these purposes does not inherently suggest the creation of controlled items. The involvement of a public university in San Marino as a project partner does not introduce any apparent export control concerns, as the collaboration is for research purposes and not for the development of controlled technologies. The project's stated goals and scope do not indicate the production or transfer of controlled items.",,179,105,284
f35035f957698624,2025-10-05T21:32:25.582926+00:00,8,---,(none),baseline,3,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,1911,YES,"The project is controlled due to its focus on developing underwater surveillance networks for security applications, which has potential military uses. The involvement of NATO as a project partner and the participation of Thales, a major defense contractor, further suggests a military dimension. Additionally, the use of SONAR and underwater acoustic communication technologies, which have dual-use potential, increases the likelihood of export control requirements. These factors collectively indicate that the project may be subject to export controls.","YES
The project is controlled due to its focus on developing underwater surveillance networks for security applications, which has potential military uses. The involvement of NATO as a project partner and the participation of Thales, a major defense contractor, further suggests a military dimension. Additionally, the use of SONAR and underwater acoustic communication technologies, which have dual-use potential, increases the likelihood of export control requirements. These factors collectively indicate that the project may be subject to export controls.",,173,93,266
a394e44a08bc204e,2025-10-05T21:32:31.163414+00:00,23,SHN,"Saint Helena, Ascension and Tristan da Cunha",baseline_plus_one,10,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,2512,NO,"The project focuses on developing a computational system to optimize energy management in homes using insights from bees' social organization and communication, with no apparent involvement of controlled technologies, such as dual-use items or military-related equipment. The research is primarily aimed at improving energy efficiency and sustainability in the housing sector, with no indication of potential military or malicious applications. The collaboration with a public university in Saint Helena, Ascension and Tristan da Cunha, a British overseas territory, does not inherently suggest a controlled activity. The project's objectives and methodology do not trigger export control concerns.","NO
The project focuses on developing a computational system to optimize energy management in homes using insights from bees' social organization and communication, with no apparent involvement of controlled technologies, such as dual-use items or military-related equipment. The research is primarily aimed at improving energy efficiency and sustainability in the housing sector, with no indication of potential military or malicious applications. The collaboration with a public university in Saint Helena, Ascension and Tristan da Cunha, a British overseas territory, does not inherently suggest a controlled activity. The project's objectives and methodology do not trigger export control concerns.",,833,116,949
