run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
9df927a8f49dd188,2025-10-06T15:47:40.978801+00:00,8,PYF,French Polynesia,baseline_plus_one,3,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,3817,YES,"This project involves underwater surveillance technologies for security applications including port protection, which likely falls under dual-use export controls. The involvement of NATO as a partner and the focus on SONAR/acoustic communication systems for surveillance purposes suggests military/defense applications. Additionally, Thales Ltd. is a major defense contractor, and the international partnerships (including French Polynesia) indicate potential technology transfer concerns requiring export control review.","YES

This project involves underwater surveillance technologies for security applications including port protection, which likely falls under dual-use export controls. The involvement of NATO as a partner and the focus on SONAR/acoustic communication systems for surveillance purposes suggests military/defense applications. Additionally, Thales Ltd. is a major defense contractor, and the international partnerships (including French Polynesia) indicate potential technology transfer concerns requiring export control review.",,201,89,290
700118e67297364b,2025-10-06T15:47:41.141564+00:00,6,UGA,Uganda,baseline_plus_one,1,Other,Africa,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,3653,YES,"This project involves dual-use encryption technologies for UAVs and critical infrastructure protection, which fall under UK export control regulations. The collaboration with NASA JPL (a US government entity) and international partners requires export licensing consideration. The dynamic encryption and device fingerprinting technologies could have military applications and involve controlled cryptographic capabilities that require export control review under the dual-use regulations.","YES

This project involves dual-use encryption technologies for UAVs and critical infrastructure protection, which fall under UK export control regulations. The collaboration with NASA JPL (a US government entity) and international partners requires export licensing consideration. The dynamic encryption and device fingerprinting technologies could have military applications and involve controlled cryptographic capabilities that require export control review under the dual-use regulations.",,197,81,278
fbf5b19998c4c1e7,2025-10-06T15:47:41.843838+00:00,8,TUV,Tuvalu,baseline_plus_one,3,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,3686,YES,"The project involves underwater surveillance technologies for security applications including port protection, which likely falls under dual-use export controls. The involvement of NATO as a partner and the focus on SONAR/acoustic communication systems for surveillance purposes suggests military or security-sensitive applications. Additionally, partnership with Thales Ltd., a major defense contractor, further indicates potential controlled technology development that would require export control review.","YES

The project involves underwater surveillance technologies for security applications including port protection, which likely falls under dual-use export controls. The involvement of NATO as a partner and the focus on SONAR/acoustic communication systems for surveillance purposes suggests military or security-sensitive applications. Additionally, partnership with Thales Ltd., a major defense contractor, further indicates potential controlled technology development that would require export control review.",,201,84,285
511bfd71b41a20d2,2025-10-06T15:47:42.026054+00:00,2,---,(none),baseline,5,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,3543,NO,"This project focuses on carbon emission reduction in computer networks through telemetry and routing optimization, which are standard networking research areas. The research involves developing metrics and algorithms for energy efficiency rather than advanced cryptography, military applications, or dual-use technologies that would trigger export controls. The academic nature and climate change focus indicate this is fundamental research without controlled technology applications.","NO

Rationale: This project focuses on carbon emission reduction in computer networks through telemetry and routing optimization, which are standard networking research areas. The research involves developing metrics and algorithms for energy efficiency rather than advanced cryptography, military applications, or dual-use technologies that would trigger export controls. The academic nature and climate change focus indicate this is fundamental research without controlled technology applications.",,191,81,272
79fc61018a91c490,2025-10-06T15:47:42.362117+00:00,23,TJK,Tajikistan,baseline_plus_one,10,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,4544,NO,"This project focuses on domestic energy management systems inspired by bee communication patterns, which is civilian research in sustainable energy and behavioral science. The computational algorithms for optimizing household energy use and the web-based application prototype do not involve controlled technologies, encryption, or dual-use capabilities. While there is a partner university in Tajikistan, the research involves only civilian energy efficiency methods and social behavioral studies that fall well below export control thresholds.","NO

This project focuses on domestic energy management systems inspired by bee communication patterns, which is civilian research in sustainable energy and behavioral science. The computational algorithms for optimizing household energy use and the web-based application prototype do not involve controlled technologies, encryption, or dual-use capabilities. While there is a partner university in Tajikistan, the research involves only civilian energy efficiency methods and social behavioral studies that fall well below export control thresholds.",,881,94,975
b68688a5d53dc73d,2025-10-06T15:47:42.877423+00:00,2,CCK,Cocos (Keeling) Islands,baseline_plus_one,5,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,4056,NO,"This project focuses on carbon-aware networking and climate change mitigation through telemetry and routing algorithms, which are civilian environmental applications. While it involves networking technologies, the research is specifically aimed at reducing carbon emissions rather than developing controlled telecommunications or surveillance capabilities. The academic nature of the collaboration with universities and the environmental focus indicate this falls outside typical export control categories for dual-use technologies.","NO

This project focuses on carbon-aware networking and climate change mitigation through telemetry and routing algorithms, which are civilian environmental applications. While it involves networking technologies, the research is specifically aimed at reducing carbon emissions rather than developing controlled telecommunications or surveillance capabilities. The academic nature of the collaboration with universities and the environmental focus indicate this falls outside typical export control categories for dual-use technologies.",,212,82,294
77b243221078842b,2025-10-06T15:47:44.485565+00:00,2,TTO,Trinidad and Tobago,baseline_plus_one,5,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,3491,NO,"This project focuses on carbon-aware networking and climate change mitigation through telemetry and routing algorithms, which are civilian environmental applications. While it involves networking technologies, the research is specifically aimed at reducing carbon emissions rather than developing controlled networking capabilities. The academic nature of the collaboration with universities and the environmental focus indicate this falls outside typical export control categories for dual-use technologies.","NO

Rationale: This project focuses on carbon-aware networking and climate change mitigation through telemetry and routing algorithms, which are civilian environmental applications. While it involves networking technologies, the research is specifically aimed at reducing carbon emissions rather than developing controlled networking capabilities. The academic nature of the collaboration with universities and the environmental focus indicate this falls outside typical export control categories for dual-use technologies.",,208,84,292
f3d7b39a4423d2f9,2025-10-06T15:47:45.580797+00:00,24,---,(none),baseline,3,(n/a),(n/a),claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,4264,YES,"This project involves developing security protocols and countermeasures for trusted execution environments that could have dual-use applications. The research on PCIe TDISP security, formal modeling of security protocols, and development of attack countermeasures falls under UK export control categories for cryptographic and information security technology. The involvement of major technology companies (ARM, Microsoft, NVIDIA) and focus on hardware security protocols further indicates potential controlled technology development.","YES

This project involves developing security protocols and countermeasures for trusted execution environments that could have dual-use applications. The research on PCIe TDISP security, formal modeling of security protocols, and development of attack countermeasures falls under UK export control categories for cryptographic and information security technology. The involvement of major technology companies (ARM, Microsoft, NVIDIA) and focus on hardware security protocols further indicates potential controlled technology development.",,310,95,405
742d68951e901d32,2025-10-06T15:47:45.750943+00:00,25,PCN,Pitcairn,baseline_plus_one,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,3900,YES,"The project involves telecommunications infrastructure research with international collaboration including a partner in Pitcairn, which raises potential dual-use technology concerns. The research focuses on advanced network experimentation platforms, 6G technologies, and federated telecommunications infrastructure that could have military or surveillance applications. The international partnership component, combined with the strategic nature of telecommunications technology, requires export control review to ensure compliance with UK dual-use export regulations.","YES

The project involves telecommunications infrastructure research with international collaboration including a partner in Pitcairn, which raises potential dual-use technology concerns. The research focuses on advanced network experimentation platforms, 6G technologies, and federated telecommunications infrastructure that could have military or surveillance applications. The international partnership component, combined with the strategic nature of telecommunications technology, requires export control review to ensure compliance with UK dual-use export regulations.",,832,90,922
f42753f6b47fc9f9,2025-10-06T15:47:46.770324+00:00,34,SWE,Sweden,baseline_plus_one,0,EU,Europe,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,4235,YES,"This project involves multiple controlled technologies including quantum communication networks, terahertz spectrum technologies, reconfigurable intelligent surfaces (RIS), and advanced AI/ML techniques for network optimization. The combination of quantum communications, emerging RF technologies operating in controlled frequency bands, and sophisticated AI systems for network orchestration likely falls under UK dual-use export controls. The international collaboration with a Swedish university partner further necessitates export control review to ensure compliance with technology transfer regulations.","YES

This project involves multiple controlled technologies including quantum communication networks, terahertz spectrum technologies, reconfigurable intelligent surfaces (RIS), and advanced AI/ML techniques for network optimization. The combination of quantum communications, emerging RF technologies operating in controlled frequency bands, and sophisticated AI systems for network orchestration likely falls under UK dual-use export controls. The international collaboration with a Swedish university partner further necessitates export control review to ensure compliance with technology transfer regulations.",,703,98,801
